Trane Technologies Price to Free Cash Flow Ratio Historical Data,Trane Technologies Price to Free Cash Flow Ratio Historical Data,Trane Technologies Price to Free Cash Flow Ratio Historical Data,Trane Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,361.66,,33.48
2024-06-30,328.93,$10.80,30.45
2024-03-31,300.2,$10.10,29.71
2023-12-31,243.18,$9.09,26.74
2023-09-30,201.64,$8.26,24.42
2023-06-30,190.06,$6.55,29.01
2023-03-31,182.83,$6.01,30.4
2022-12-31,167.04,$5.20,32.11
2022-09-30,143.9,$3.71,38.81
2022-06-30,128.51,$3.31,38.8
2022-03-31,150.37,$3.70,40.66
2021-12-31,198.95,$5.70,34.92
2021-09-30,169.49,$6.65,25.48
2021-06-30,180.77,$8.82,20.5
2021-03-31,162.53,$7.69,21.15
2020-12-31,141.96,$5.30,26.78
