Interactive Brokers Price to Free Cash Flow Ratio Historical Data,Interactive Brokers Price to Free Cash Flow Ratio Historical Data,Interactive Brokers Price to Free Cash Flow Ratio Historical Data,Interactive Brokers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,149.43,,2.43
2024-06-30,122.36,$61.53,1.99
2024-03-31,111.27,$66.95,1.66
2023-12-31,82.5,$42.47,1.94
2023-09-30,86.03,$19.94,4.31
2023-06-30,82.47,$34.06,2.42
2023-03-31,81.86,$8.23,9.95
2022-12-31,71.65,$38.49,1.86
2022-09-30,63.22,$27.16,2.33
2022-06-30,54.32,$13.96,3.89
2022-03-31,64.98,$33.60,1.93
2021-12-31,78.18,$52.84,1.48
2021-09-30,61.29,$120.11,0.51
2021-06-30,64.52,$107.44,0.6
2021-03-31,71.59,$72.97,0.98
2020-12-31,59.63,$99.43,0.6
2020-09-30,47.22,$49.87,0.95
2020-06-30,40.73,$54.07,0.75
2020-03-31,42.0,$93.07,0.45
2019-12-31,45.26,$33.74,1.34
2019-09-30,54.05,$22.22,2.43
2019-06-30,53.95,$28.48,1.89
2019-03-31,53.85,$22.38,2.41
2018-12-31,53.76,$31.24,1.72
2018-09-30,53.21,$19.33,2.75
2018-06-30,61.86,$21.00,2.95
2018-03-31,64.49,$19.90,3.24
2017-12-31,56.71,$14.63,3.88
2017-09-30,43.06,$39.34,1.09
2017-06-30,35.69,$31.56,1.13
2017-03-31,33.02,$18.45,1.79
2016-12-31,34.63,$9.03,3.83
2016-09-30,33.37,$3.04,10.96
2016-06-30,33.4,$13.04,2.56
2016-03-31,37.0,$16.75,2.21
2015-12-31,40.91,$11.12,3.68
2015-09-30,36.95,$15.90,2.32
2015-06-30,38.81,$8.68,4.47
2015-03-31,31.68,$7.74,4.09
2014-12-31,27.07,$6.90,3.93
2014-09-30,23.08,$5.58,4.14
2014-06-30,21.45,$2.36,9.1
2014-03-31,19.87,$2.16,9.19
2013-12-31,22.22,$2.42,9.2
2013-09-30,17.07,$8.15,2.1
2013-06-30,14.44,$0.49,29.19
2013-03-31,13.39,$11.86,1.13
2012-12-31,12.2,$15.03,0.81
2012-09-30,11.6,$11.49,1.01
2012-06-30,12.09,$23.49,0.51
2012-03-31,13.87,$21.69,0.64
2011-12-31,12.11,$22.04,0.55
2011-09-30,11.22,$36.39,0.31
2011-06-30,12.52,$35.73,0.35
2011-03-31,12.63,$35.32,0.36
2010-12-31,14.17,$33.16,0.43
2010-09-30,12.41,$8.95,1.39
2010-06-30,11.97,$11.85,1.01
2009-12-31,12.77,$3.16,4.04
2009-09-30,14.32,$5.58,2.56
