Banc Of California Price to Free Cash Flow Ratio Historical Data,Banc Of California Price to Free Cash Flow Ratio Historical Data,Banc Of California Price to Free Cash Flow Ratio Historical Data,Banc Of California Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.28,,15.38
2024-06-30,12.69,$0.99,12.78
2024-03-31,14.99,$1.58,9.51
2023-12-31,13.14,$1.52,8.66
2023-09-30,12.03,$8.54,1.41
2023-06-30,11.16,$7.82,1.43
2023-03-31,11.98,$8.15,1.47
2022-12-31,15.12,$8.82,1.71
2022-09-30,15.1,$6.66,2.27
2022-06-30,16.61,$6.29,2.64
2022-03-31,18.18,$5.94,3.06
2021-12-31,18.37,$6.32,2.91
2021-09-30,17.26,$2.15,8.01
2021-06-30,16.32,$2.73,5.98
2021-03-31,16.76,$1.75,9.56
2020-12-31,13.6,$1.39,9.78
2020-09-30,9.32,$1.05,8.87
2020-06-30,9.92,$0.88,11.25
2020-03-31,7.29,$1.19,6.13
2019-12-31,15.57,$1.39,11.21
2019-09-30,12.77,$1.62,7.9
2019-06-30,12.56,$1.85,6.77
2019-03-31,12.39,$2.40,5.17
2018-12-31,11.81,$2.35,5.03
2018-09-30,16.62,$2.76,6.02
2018-06-30,17.07,$4.43,3.86
2018-03-31,16.75,$11.59,1.45
2017-12-31,17.81,$10.83,1.64
2017-09-30,17.78,$12.71,1.4
2017-06-30,18.3,$11.84,1.54
2017-03-31,17.51,$0.94,18.65
2016-12-31,14.59,$-2.74,0.0
2016-09-30,14.56,$-3.02,0.0
2016-06-30,15.01,$-3.24,0.0
2015-12-31,11.96,$-2.01,0.0
2015-09-30,9.95,$-15.49,0.0
2015-06-30,11.05,$-23.05,0.0
2015-03-31,9.8,$-23.34,0.0
2014-12-31,9.04,$-25.99,0.0
2016-03-31,14.42,$-21.71,0.0
2014-09-30,9.07,$-37.88,0.0
2014-06-30,8.41,$-38.15,0.0
2014-03-31,9.37,$-45.00,0.0
2013-12-31,10.15,$-32.08,0.0
2013-09-30,10.37,$-11.05,0.0
2013-06-30,10.1,$-15.61,0.0
2013-03-31,8.4,$-4.11,0.0
2012-12-31,8.95,$-3.23,0.0
2012-09-30,9.03,$-2.39,0.0
2012-06-30,8.48,$1.25,6.76
2012-03-31,8.44,$0.94,8.94
2011-12-31,7.18,$0.82,8.74
2011-09-30,7.85,$-0.14,0.0
2011-06-30,10.19,$1.95,5.22
2011-03-31,10.84,$2.73,3.96
2010-12-31,8.98,$4.08,2.2
2010-09-30,7.18,$1.97,3.65
2010-06-30,5.34,$2.52,2.12
2010-03-31,5.15,$2.66,1.93
2009-12-31,3.52,$1.61,2.19
