Arthur J Gallagher Price to Free Cash Flow Ratio Historical Data,Arthur J Gallagher Price to Free Cash Flow Ratio Historical Data,Arthur J Gallagher Price to Free Cash Flow Ratio Historical Data,Arthur J Gallagher Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,292.57,,27.67
2024-06-30,259.31,$10.58,24.52
2024-03-31,250.04,$9.97,25.09
2023-12-31,224.33,$8.38,26.76
2023-09-30,226.87,$8.04,28.2
2023-06-30,218.03,$7.00,31.14
2023-03-31,189.45,$6.62,28.6
2022-12-31,186.16,$5.62,33.11
2022-09-30,168.63,$3.85,43.83
2022-06-30,160.12,$3.27,49.02
2022-03-31,170.95,$5.97,28.62
2021-12-31,165.59,$6.10,27.16
2021-09-30,144.65,$7.33,19.74
2021-06-30,135.87,$7.99,17.01
2021-03-31,120.62,$4.18,28.83
2020-12-31,119.12,$5.29,22.52
2020-09-30,101.27,$4.85,20.88
2020-06-30,93.11,$4.55,20.47
2019-12-31,90.14,$5.54,16.28
2019-09-30,84.39,$6.50,12.98
2019-06-30,82.13,$5.25,15.63
2019-03-31,72.87,$3.59,20.32
2018-12-31,68.4,$7.00,9.77
2020-03-31,77.49,$2.62,29.52
2018-09-30,68.71,$3.46,19.86
2018-06-30,59.92,$4.26,14.08
2018-03-31,62.7,$2.71,23.11
2017-12-31,57.39,$3.98,14.41
2017-09-30,55.49,$3.87,14.35
2017-06-30,51.27,$3.35,15.31
2017-03-31,50.29,$2.13,23.61
2016-12-31,45.9,$2.42,18.96
2016-09-30,44.6,$3.24,13.77
2016-06-30,41.42,$3.29,12.6
2016-03-31,38.4,$3.03,12.67
2015-12-31,35.01,$3.39,10.33
2015-09-30,35.0,$2.51,13.93
2015-06-30,39.76,$1.39,28.58
2015-03-31,39.0,$2.40,16.25
2014-12-31,38.97,$2.30,16.93
2014-09-30,37.27,$1.78,20.98
2014-06-30,37.99,$3.00,12.65
2014-03-31,38.49,$0.23,169.57
2013-12-31,37.67,$0.99,38.2
2013-09-30,34.78,$1.29,26.96
2013-06-30,34.52,$0.83,41.82
2012-12-31,26.91,$2.38,11.29
2012-09-30,27.56,$2.94,9.38
2012-06-30,26.73,$2.42,11.06
2012-03-31,26.97,$2.25,11.98
2011-12-31,25.0,$3.60,6.95
2013-03-31,32.38,$1.66,19.53
2011-09-30,19.47,$1.44,13.56
2011-06-30,20.87,$1.87,11.13
2011-03-31,21.97,$1.82,12.09
2010-12-31,20.79,$1.94,10.69
2010-09-30,18.65,$1.96,9.54
2010-06-30,17.03,$1.96,8.67
2010-03-31,16.94,$2.25,7.54
2009-12-31,15.33,$1.87,8.2
