Lakeland Financial Price to Free Cash Flow Ratio Historical Data,Lakeland Financial Price to Free Cash Flow Ratio Historical Data,Lakeland Financial Price to Free Cash Flow Ratio Historical Data,Lakeland Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,68.79,,15.17
2024-06-30,61.11,$4.54,13.47
2024-03-31,65.37,$4.12,15.87
2023-12-31,63.75,$4.20,15.18
2023-09-30,45.98,$4.51,10.19
2023-06-30,46.62,$4.23,11.02
2023-03-31,59.7,$5.57,10.72
2022-12-31,69.11,$6.40,10.8
2022-09-30,68.6,$6.15,11.15
2022-06-30,62.23,$5.48,11.35
2022-03-31,68.04,$5.17,13.16
2021-12-31,74.32,$4.20,17.7
2021-09-30,65.78,$4.13,15.93
2021-06-30,56.58,$3.91,14.48
2021-03-31,63.19,$3.38,18.67
2020-12-31,48.65,$3.21,15.14
2020-09-30,37.18,$3.25,11.46
2020-06-30,41.77,$3.46,12.08
2020-03-31,32.68,$3.41,9.59
2019-12-31,43.24,$3.57,12.1
2019-09-30,38.61,$3.63,10.63
2019-06-30,40.84,$3.75,10.89
2019-03-31,39.19,$3.65,10.75
2018-12-31,34.6,$3.79,9.13
2018-09-30,39.78,$3.59,11.08
2018-06-30,40.94,$3.13,13.07
2018-03-31,39.07,$2.90,13.48
2017-12-31,40.8,$2.64,15.47
2017-09-30,40.81,$2.21,18.46
2017-06-30,38.25,$2.00,19.11
2017-03-31,35.77,$2.17,16.51
2016-12-31,39.11,$2.06,19.01
2016-09-30,29.09,$1.97,14.8
2016-06-30,17.06,$2.15,7.94
2016-03-31,16.52,$1.89,8.74
2015-12-31,16.72,$1.87,8.92
2015-09-30,16.1,$1.99,8.08
2015-06-30,15.38,$1.89,8.16
2015-03-31,14.31,$1.96,7.32
2014-12-31,15.25,$1.91,7.99
2014-09-30,13.08,$1.87,6.98
2014-06-30,13.23,$1.98,6.67
2014-03-31,13.87,$1.86,7.47
2013-12-31,13.38,$2.22,6.02
2013-09-30,11.14,$2.31,4.83
2013-06-30,9.41,$2.19,4.29
2013-03-31,8.99,$2.32,3.87
2012-12-31,8.7,$1.93,4.51
2012-09-30,9.17,$1.78,5.14
2012-06-30,8.86,$1.64,5.4
2012-03-31,8.53,$1.56,5.46
2011-12-31,8.43,$1.83,4.61
2011-09-30,6.69,$1.92,3.49
2011-06-30,7.16,$1.97,3.64
2011-03-31,7.24,$1.86,3.89
2010-12-31,6.81,$1.75,3.88
2010-09-30,5.87,$1.11,5.29
2010-06-30,6.24,$1.29,4.82
2010-03-31,5.9,$1.55,3.8
2009-12-31,5.3,$1.18,4.48
