Vericel Price to Free Cash Flow Ratio Historical Data,Vericel Price to Free Cash Flow Ratio Historical Data,Vericel Price to Free Cash Flow Ratio Historical Data,Vericel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.67,,0.0
2024-06-30,45.88,$-0.04,0.0
2024-03-31,52.02,$0.04,1187.67
2023-12-31,35.61,$0.32,110.76
2023-09-30,33.52,$0.40,84.22
2023-06-30,37.57,$0.44,84.85
2023-03-31,29.32,$0.34,85.73
2022-12-31,26.34,$0.21,123.03
2022-09-30,23.2,$0.30,78.19
2022-06-30,25.18,$0.26,95.56
2022-03-31,38.22,$0.29,129.82
2021-12-31,39.3,$0.45,86.45
2021-09-30,48.8,$0.47,104.95
2021-06-30,52.5,$0.53,99.15
2021-03-31,55.55,$0.40,140.21
2020-12-31,30.88,$0.32,97.69
2020-09-30,18.53,$0.15,126.23
2020-06-30,13.82,$0.23,59.75
2020-03-31,9.17,$-0.13,0.0
2019-12-31,17.4,$-0.22,0.0
2019-09-30,15.14,$-0.23,0.0
2019-06-30,18.89,$-0.36,0.0
2019-03-31,17.51,$-0.08,0.0
2018-12-31,17.4,$-0.08,0.0
2018-09-30,14.15,$-0.12,0.0
2018-06-30,9.7,$-0.32,0.0
2018-03-31,9.95,$-0.33,0.0
2017-12-31,5.45,$-0.44,0.0
2017-09-30,6.0,$-0.84,0.0
2017-06-30,3.3,$-0.87,0.0
2017-03-31,2.8,$-0.97,0.0
2016-12-31,3.0,$-0.92,0.0
2016-09-30,2.8,$-0.70,0.0
2016-06-30,2.25,$-0.57,0.0
2016-03-31,5.86,$-0.53,0.0
2015-12-31,2.58,$-0.66,0.0
2015-09-30,2.71,$-0.87,0.0
2015-06-30,3.57,$-1.03,0.0
2015-03-31,3.7,$-1.65,0.0
2014-12-31,3.04,$-2.25,0.0
2014-09-30,2.85,$-3.36,0.0
2014-06-30,4.1,$-3.24,0.0
2014-03-31,4.39,$-4.40,0.0
2013-12-31,3.23,$-6.63,0.0
2013-09-30,5.58,$-19.10,0.0
2013-06-30,8.02,$-11.98,0.0
2013-03-31,14.0,$-14.05,0.0
2012-12-31,25.2,$-14.47,0.0
2012-09-30,32.6,$-3.82,0.0
2012-06-30,43.0,$-14.21,0.0
2012-03-31,40.4,$-13.27,0.0
2011-12-31,36.4,$-13.22,0.0
2011-09-30,44.8,$-1.04,0.0
2011-06-30,55.0,$-0.91,0.0
2011-03-31,50.0,$-0.21,0.0
2010-12-31,51.2,$0.00,0.0
2010-09-30,31.0,$-11.80,0.0
2010-06-30,29.8,$-12.31,0.0
2010-03-31,33.0,$2.74,12.03
2009-12-31,49.2,$-6.69,0.0
