Seagate Technology Holdings Price to Free Cash Flow Ratio Historical Data,Seagate Technology Holdings Price to Free Cash Flow Ratio Historical Data,Seagate Technology Holdings Price to Free Cash Flow Ratio Historical Data,Seagate Technology Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,99.55,,96.11
2024-06-30,103.27,$1.04,99.7
2024-03-31,93.05,$0.12,785.23
2023-12-31,85.37,$0.38,227.17
2023-06-30,61.87,$5.60,11.04
2023-03-31,66.12,$7.71,8.58
2022-12-31,52.61,$7.09,7.42
2022-09-30,53.23,$7.92,6.72
2022-06-30,70.62,$9.32,7.58
2023-09-30,65.95,$5.54,11.91
2022-03-31,87.99,$6.60,13.33
2021-12-31,109.75,$6.21,17.68
2021-09-30,79.65,$5.54,14.37
2021-06-30,84.18,$4.62,18.22
2021-03-31,72.91,$4.29,16.99
2020-12-31,58.51,$4.01,14.6
2020-09-30,45.9,$3.84,11.96
2020-06-30,44.49,$4.26,10.43
2020-03-31,44.26,$4.69,9.45
2019-12-31,53.17,$4.81,11.05
2019-09-30,47.55,$4.29,11.08
2019-06-30,41.15,$4.57,9.0
2019-03-31,41.25,$4.49,9.19
2018-12-31,32.8,$5.19,6.33
2018-09-30,39.58,$7.26,5.45
2018-06-30,46.59,$6.23,7.48
2018-03-31,47.77,$5.36,8.91
2017-12-31,33.8,$4.62,7.32
2017-09-30,26.4,$1.72,15.31
2017-06-30,30.25,$1.70,17.78
2017-03-31,35.32,$1.62,21.81
2016-12-31,28.96,$1.40,20.75
2016-06-30,17.87,$3.62,4.94
2016-03-31,24.47,$3.33,7.35
2015-12-31,25.53,$3.67,6.95
2015-09-30,30.7,$6.47,4.74
2015-06-30,32.19,$5.75,5.6
2015-03-31,34.94,$6.85,5.1
2014-12-31,44.26,$7.14,6.2
2014-09-30,37.79,$1.05,35.97
2014-06-30,37.21,$0.27,138.79
2014-03-31,36.46,$0.50,73.35
2013-12-31,36.15,$1.43,25.24
2013-06-30,28.33,$5.99,4.73
2013-03-31,22.88,$10.09,2.27
2012-12-31,19.04,$10.10,1.89
2012-09-30,18.91,$9.81,1.93
2012-06-30,14.96,$8.99,1.66
2013-09-30,27.91,$4.29,6.51
2012-03-31,16.18,$3.36,4.82
2011-12-31,9.75,$1.87,5.21
2011-09-30,6.04,$1.18,5.11
2011-06-30,9.37,$1.07,8.79
2011-03-31,8.27,$0.76,10.85
2010-12-31,8.63,$1.34,6.45
2010-09-30,6.76,$1.96,3.46
2010-06-30,7.49,$2.56,2.93
2010-03-31,10.48,$2.62,4.0
2009-12-31,10.44,$0.52,20.12
2009-09-30,8.73,$0.77,11.3
