Fortuna Mining Price to Free Cash Flow Ratio Historical Data,Fortuna Mining Price to Free Cash Flow Ratio Historical Data,Fortuna Mining Price to Free Cash Flow Ratio Historical Data,Fortuna Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.66,,9.07
2024-06-30,4.89,$0.51,9.52
2024-03-31,3.73,$0.36,10.3
2023-12-31,3.86,$0.27,14.31
2023-09-30,2.72,$0.01,0.0
2023-06-30,3.24,$-0.21,0.0
2023-03-31,3.82,$-0.16,0.0
2022-12-31,3.75,$-0.20,0.0
2022-09-30,2.52,$-0.13,0.0
2022-06-30,2.84,$-0.22,0.0
2022-03-31,3.81,$-0.15,0.0
2021-12-31,3.9,$-0.02,0.0
2021-09-30,3.93,$0.17,22.93
2021-06-30,5.55,$0.33,16.6
2021-03-31,6.47,$0.21,31.08
2020-12-31,8.24,$0.00,0.0
2020-09-30,6.36,$-1.27,0.0
2020-06-30,5.09,$-1.30,0.0
2020-03-31,2.31,$-1.09,0.0
2019-12-31,4.08,$-0.94,0.0
2019-09-30,3.09,$0.20,15.12
2019-06-30,2.85,$0.21,13.39
2019-03-31,3.35,$0.19,17.81
2018-12-31,3.64,$0.29,12.6
2018-09-30,4.37,$0.40,11.02
2018-06-30,5.68,$0.37,15.26
2018-03-31,5.21,$0.29,17.82
2017-12-31,5.22,$0.21,25.16
2017-09-30,4.38,$0.17,25.36
2017-06-30,4.89,$0.26,18.71
2017-03-31,5.2,$0.20,25.79
2016-12-31,5.65,$0.09,62.5
2016-09-30,7.24,$-0.05,0.0
2016-06-30,6.98,$-0.16,0.0
2016-03-31,3.9,$-0.16,0.0
2015-12-31,2.25,$-0.02,0.0
2015-09-30,2.18,$0.02,123.16
2015-06-30,3.66,$0.08,45.07
2015-03-31,3.84,$0.07,54.7
2014-12-31,4.55,$0.17,27.05
2014-09-30,4.06,$0.21,19.16
2014-06-30,5.51,$0.07,84.64
2014-03-31,3.67,$-0.03,0.0
2013-12-31,2.87,$-0.12,0.0
2013-09-30,3.65,$-0.17,0.0
2013-06-30,3.31,$-0.09,0.0
2013-03-31,4.3,$0.13,33.59
2012-12-31,4.17,$0.07,57.68
2012-09-30,5.32,$0.08,65.04
2012-06-30,3.45,$-0.08,0.0
2012-03-31,4.52,$-0.26,0.0
2011-12-31,5.49,$-0.23,0.0
2011-09-30,5.03,$-0.24,0.0
2011-06-30,5.24,$-0.11,0.0
2010-03-31,2.58,$0.02,111.69
2009-12-31,1.99,$-0.00,0.0
2009-09-30,1.41,$-0.06,0.0
2009-06-30,0.75,$-0.12,0.0
2009-03-31,0.82,$-0.19,0.0
2011-03-31,5.49,$-0.18,0.0
