Agios Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Agios Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Agios Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Agios Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.14,,0.0
2024-06-30,43.12,$-5.44,0.0
2024-03-31,29.24,$-5.36,0.0
2023-12-31,22.27,$-5.31,0.0
2023-09-30,24.75,$-5.19,0.0
2023-06-30,28.32,$-5.41,0.0
2023-03-31,22.97,$-5.60,0.0
2022-12-31,28.08,$-5.72,0.0
2022-09-30,28.28,$-5.67,0.0
2022-06-30,22.17,$-6.14,0.0
2022-03-31,29.11,$-6.93,0.0
2021-12-31,32.87,$-6.83,0.0
2021-09-30,46.15,$-6.42,0.0
2021-06-30,55.11,$-5.71,0.0
2021-03-31,51.64,$-4.57,0.0
2020-12-31,43.33,$-4.42,0.0
2020-09-30,35.0,$-5.26,0.0
2020-06-30,53.48,$-5.69,0.0
2020-03-31,35.48,$-6.17,0.0
2019-12-31,47.75,$-6.38,0.0
2019-09-30,32.4,$-6.16,0.0
2019-06-30,49.88,$-5.81,0.0
2019-03-31,67.44,$-5.42,0.0
2018-12-31,46.11,$-5.42,0.0
2018-09-30,77.12,$-5.87,0.0
2018-06-30,84.23,$-6.28,0.0
2018-03-31,81.78,$-6.27,0.0
2017-12-31,57.17,$-6.22,0.0
2017-09-30,66.75,$-7.21,0.0
2017-06-30,51.45,$-1.57,0.0
2017-03-31,58.4,$-1.03,0.0
2016-12-31,41.73,$-0.15,0.0
2016-06-30,41.9,$1.90,22.1
2016-03-31,40.6,$-2.37,0.0
2015-12-31,64.92,$-2.59,0.0
2015-09-30,70.43,$-2.12,0.0
2015-06-30,111.14,$-1.96,0.0
2015-03-31,94.3,$-1.76,0.0
2014-12-31,112.04,$-1.83,0.0
2014-09-30,61.35,$-3.24,0.0
2014-06-30,45.82,$-6.69,0.0
2014-03-31,39.15,$-4.60,0.0
