Matador Resources Price to Free Cash Flow Ratio Historical Data,Matador Resources Price to Free Cash Flow Ratio Historical Data,Matador Resources Price to Free Cash Flow Ratio Historical Data,Matador Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,52.46,,10.72
2024-06-30,59.39,$4.89,12.13
2024-03-31,66.32,$4.56,14.53
2023-12-31,56.29,$4.34,12.98
2023-09-30,58.68,$4.20,13.96
2023-06-30,51.48,$6.51,7.9
2023-03-31,46.72,$5.87,7.96
2022-12-31,55.98,$6.70,8.36
2022-09-30,47.77,$6.57,7.27
2022-06-30,45.41,$4.46,10.17
2021-12-31,35.92,$4.72,7.61
2021-09-30,36.96,$0.11,330.63
2021-06-30,34.96,$-0.33,0.0
2021-03-31,22.75,$-2.05,0.0
2020-12-31,11.69,$-3.47,0.0
2022-03-31,51.59,$-1.37,0.0
2020-09-30,8.0,$-2.50,0.0
2020-06-30,8.24,$-2.55,0.0
2020-03-31,2.4,$-2.06,0.0
2019-12-31,17.41,$-2.57,0.0
2019-09-30,16.02,$2.18,7.36
2019-06-30,19.26,$-1.83,0.0
2019-03-31,18.73,$-2.81,0.0
2018-12-31,15.05,$-2.23,0.0
2018-09-30,32.02,$-8.20,0.0
2018-06-30,29.12,$-4.71,0.0
2018-03-31,28.98,$-4.21,0.0
2017-12-31,30.16,$-5.07,0.0
2017-09-30,26.31,$-4.57,0.0
2017-06-30,20.71,$-4.10,0.0
2017-03-31,23.05,$-2.77,0.0
2016-12-31,24.96,$-1.56,0.0
2016-09-30,23.58,$-1.95,0.0
2015-12-31,19.16,$-1.83,0.0
2015-09-30,20.1,$-5.82,0.0
2015-06-30,24.22,$-6.38,0.0
2015-03-31,21.24,$-6.47,0.0
2014-12-31,19.6,$-6.66,0.0
2016-03-31,18.37,$-4.08,0.0
2014-09-30,25.05,$-4.00,0.0
2014-06-30,28.37,$-4.01,0.0
2014-03-31,23.73,$-4.12,0.0
2013-12-31,18.06,$-4.10,0.0
2013-09-30,15.82,$-4.13,0.0
2013-03-31,8.58,$-3.39,0.0
2012-12-31,7.95,$-3.41,0.0
2012-09-30,10.07,$-2.40,0.0
2012-06-30,10.41,$-3.21,0.0
