Dynavax Technologies Price to Free Cash Flow Ratio Historical Data,Dynavax Technologies Price to Free Cash Flow Ratio Historical Data,Dynavax Technologies Price to Free Cash Flow Ratio Historical Data,Dynavax Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.92,,30.67
2024-06-30,11.23,$0.36,31.54
2024-03-31,12.41,$0.42,29.74
2023-12-31,13.98,$0.76,18.47
2023-09-30,14.77,$0.78,19.04
2023-06-30,12.92,$0.97,13.25
2023-03-31,9.81,$0.93,10.57
2022-12-31,10.64,$0.38,28.36
2022-09-30,10.44,$0.82,12.74
2022-06-30,12.59,$0.98,12.81
2022-03-31,10.84,$1.79,6.05
2021-12-31,14.07,$2.46,5.72
2021-09-30,19.21,$1.60,12.02
2021-06-30,9.85,$0.88,11.21
2021-03-31,9.83,$-0.22,0.0
2020-12-31,4.45,$-0.88,0.0
2020-09-30,4.32,$-1.10,0.0
2020-06-30,8.87,$-1.18,0.0
2020-03-31,3.53,$-1.65,0.0
2019-12-31,5.72,$-1.99,0.0
2019-09-30,3.58,$-2.15,0.0
2019-06-30,3.99,$-2.47,0.0
2019-03-31,7.31,$-2.36,0.0
2018-12-31,9.15,$-2.17,0.0
2018-09-30,12.4,$-2.05,0.0
2018-06-30,15.25,$-1.67,0.0
2018-03-31,19.85,$-1.38,0.0
2017-12-31,18.7,$-1.49,0.0
2017-09-30,21.5,$-1.76,0.0
2017-06-30,9.65,$-2.35,0.0
2017-03-31,5.95,$-2.82,0.0
2016-12-31,3.95,$-2.98,0.0
2016-09-30,10.49,$-3.24,0.0
2016-06-30,14.58,$-2.84,0.0
2016-03-31,19.24,$-2.89,0.0
2015-12-31,24.16,$-3.03,0.0
2015-09-30,24.54,$-2.71,0.0
2015-06-30,23.43,$-3.23,0.0
2015-03-31,22.43,$-3.34,0.0
2014-12-31,16.86,$-2.87,0.0
2014-09-30,14.3,$-2.65,0.0
2014-06-30,16.0,$-2.46,0.0
2014-03-31,18.08,$-2.45,0.0
2013-12-31,19.6,$-3.07,0.0
2013-09-30,11.9,$-3.24,0.0
2013-06-30,11.0,$-3.17,0.0
2013-03-31,22.2,$-3.22,0.0
2012-12-31,28.5,$-2.74,0.0
2012-09-30,47.6,$-2.57,0.0
2012-06-30,43.2,$-2.86,0.0
2012-03-31,50.3,$-2.75,0.0
2011-12-31,33.2,$-3.86,0.0
2011-09-30,18.6,$-5.83,0.0
2011-06-30,27.5,$-6.19,0.0
2011-03-31,27.6,$-6.67,0.0
2010-12-31,32.0,$-6.28,0.0
2010-09-30,18.3,$-6.13,0.0
2010-06-30,18.6,$-7.14,0.0
2010-03-31,13.0,$-7.81,0.0
2009-12-31,14.2,$-8.41,0.0
