CBIZ Price to Free Cash Flow Ratio Historical Data,CBIZ Price to Free Cash Flow Ratio Historical Data,CBIZ Price to Free Cash Flow Ratio Historical Data,CBIZ Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,67.35,,26.2
2024-06-30,74.1,$2.57,28.83
2024-03-31,78.5,$2.16,36.39
2023-12-31,62.59,$2.58,24.26
2023-09-30,51.9,$2.53,20.53
2023-06-30,53.28,$3.58,14.9
2023-03-31,49.49,$1.29,38.22
2022-12-31,46.85,$3.12,15.03
2022-06-30,39.96,$1.58,25.37
2022-03-31,41.97,$1.59,26.38
2021-12-31,39.12,$2.27,17.2
2021-09-30,32.34,$2.54,12.75
2021-06-30,32.77,$2.70,12.12
2021-03-31,32.66,$2.53,12.91
2020-12-31,26.61,$2.44,10.89
2020-09-30,22.87,$2.11,10.82
2020-06-30,23.97,$2.19,10.94
2020-03-31,20.92,$1.67,12.54
2019-12-31,26.96,$1.51,17.87
2019-09-30,23.5,$1.36,17.24
2019-06-30,19.59,$1.20,16.3
2019-03-31,20.24,$1.48,13.7
2018-12-31,19.7,$1.60,12.28
2018-09-30,23.7,$0.81,29.37
2018-06-30,23.0,$1.15,20.07
2018-03-31,18.25,$0.31,59.39
2022-09-30,42.78,$1.33,32.2
2017-12-31,15.45,$1.17,13.21
2017-09-30,16.25,$1.23,13.21
2017-06-30,15.0,$1.24,12.15
2017-03-31,13.55,$1.35,10.0
2016-12-31,13.7,$1.31,10.49
2016-09-30,11.19,$0.99,11.25
2016-06-30,10.41,$1.16,8.95
2016-03-31,10.09,$-0.34,0.0
2015-12-31,9.86,$0.39,25.54
2015-09-30,9.82,$0.31,32.18
2015-06-30,9.64,$0.41,23.29
2014-12-31,8.56,$0.76,11.28
2014-09-30,7.87,$0.75,10.54
2014-06-30,9.03,$-0.10,0.0
2014-03-31,9.16,$-0.68,0.0
2013-12-31,9.12,$0.25,37.03
2015-03-31,9.33,$-0.40,0.0
2013-09-30,7.44,$0.44,16.82
2013-06-30,6.71,$0.76,8.78
2013-03-31,6.38,$1.00,6.35
2012-12-31,5.91,$1.05,5.64
2012-09-30,6.02,$1.15,5.23
2012-06-30,5.94,$1.16,5.11
2012-03-31,6.32,$0.95,6.66
2011-12-31,6.11,$1.09,5.58
2011-09-30,6.59,$0.88,7.47
2011-06-30,7.36,$0.91,8.05
2011-03-31,7.21,$0.92,7.81
2010-12-31,6.24,$0.87,7.19
2010-09-30,5.93,$0.90,6.55
2010-06-30,6.36,$0.83,7.68
2010-03-31,6.57,$0.91,7.24
2009-12-31,7.7,$0.74,10.42
