Erie Indemnity Price to Free Cash Flow Ratio Historical Data,Erie Indemnity Price to Free Cash Flow Ratio Historical Data,Erie Indemnity Price to Free Cash Flow Ratio Historical Data,Erie Indemnity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,483.05,,77.88
2024-03-31,397.89,$6.20,64.15
2023-12-31,330.57,$5.52,59.92
2023-09-30,288.84,$5.58,51.78
2023-06-30,205.28,$4.72,43.48
2023-03-31,225.27,$4.77,47.19
2022-12-31,240.68,$5.57,43.24
2024-06-30,360.23,$3.21,112.07
2022-09-30,214.11,$4.12,51.95
2022-06-30,184.05,$4.54,40.54
2022-03-31,167.63,$4.58,36.57
2021-12-31,182.3,$4.86,37.54
2021-09-30,167.87,$6.32,26.54
2021-06-30,180.94,$5.58,32.4
2021-03-31,205.77,$5.93,34.68
2020-12-31,227.79,$5.49,41.51
2020-09-30,192.6,$5.28,36.51
2020-06-30,174.88,$5.22,33.52
2020-03-31,134.3,$4.88,27.51
2019-12-31,149.53,$5.03,29.72
2019-09-30,166.41,$4.91,33.86
2019-06-30,227.15,$5.16,44.02
2019-03-31,158.66,$5.14,30.85
2018-12-31,117.69,$4.08,28.87
2018-09-30,111.83,$3.66,30.55
2018-06-30,102.09,$3.10,32.95
2018-03-31,101.68,$3.02,33.71
2017-12-31,104.58,$3.21,32.54
2017-09-30,102.81,$3.56,28.91
2017-06-30,105.99,$5.41,19.57
2017-03-31,103.31,$3.63,28.45
2016-12-31,94.03,$5.92,15.89
2016-09-30,84.73,$5.97,14.18
2016-03-31,76.02,$3.76,20.24
2015-12-31,78.19,$3.90,20.04
2015-09-30,66.73,$4.56,14.65
2015-06-30,65.5,$-6.06,0.0
2015-03-31,69.1,$-1.52,0.0
2014-12-31,71.33,$2.25,31.65
2016-06-30,81.85,$0.96,84.95
2014-09-30,59.57,$1.48,40.3
2014-06-30,58.16,$2.61,22.33
2014-03-31,53.43,$2.76,19.34
2013-12-31,55.52,$4.14,13.42
2013-09-30,54.57,$16.41,3.33
2013-06-30,59.57,$12.85,4.63
2013-03-31,56.01,$11.24,4.98
2012-12-31,51.33,$10.16,5.05
2012-09-30,45.53,$8.65,5.26
2012-06-30,50.34,$5.86,8.59
2012-03-31,54.4,$5.78,9.42
2011-12-31,54.17,$6.34,8.55
2011-09-30,48.98,$8.39,5.84
2011-06-30,48.31,$12.42,3.89
2011-03-31,48.23,$13.55,3.56
2010-12-31,44.06,$12.09,3.64
2010-09-30,37.41,$10.73,3.49
2010-06-30,30.03,$10.52,2.85
2010-03-31,28.15,$11.47,2.45
2009-12-31,25.47,$15.25,1.67
