STAAR Surgical Price to Free Cash Flow Ratio Historical Data,STAAR Surgical Price to Free Cash Flow Ratio Historical Data,STAAR Surgical Price to Free Cash Flow Ratio Historical Data,STAAR Surgical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.94,,113.08
2024-06-30,47.61,$0.27,174.01
2024-03-31,38.28,$0.43,89.92
2023-12-31,31.21,$-0.07,0.0
2023-09-30,40.18,$-0.68,0.0
2023-06-30,52.57,$-0.01,0.0
2023-03-31,63.95,$0.34,188.03
2022-12-31,48.54,$0.36,136.12
2022-09-30,70.55,$0.46,155.02
2022-06-30,70.93,$0.48,148.08
2022-03-31,79.91,$0.37,213.43
2021-12-31,91.3,$0.61,148.94
2021-09-30,128.53,$0.90,143.29
2021-06-30,152.5,$0.69,222.34
2021-03-31,105.41,$0.59,179.97
2020-12-31,79.22,$0.26,302.71
2020-09-30,56.56,$0.05,1243.08
2020-06-30,61.54,$0.07,881.66
2020-03-31,32.26,$0.14,237.56
2019-12-31,35.17,$0.33,105.05
2019-09-30,25.78,$0.23,111.12
2019-06-30,29.38,$0.20,146.53
2019-03-31,34.19,$0.16,207.46
2018-12-31,31.91,$0.23,137.25
2018-09-30,48.0,$0.28,170.45
2018-06-30,31.0,$0.09,341.79
2018-03-31,14.8,$0.08,184.08
2017-12-31,15.5,$0.03,445.4
2017-06-30,10.8,$-0.04,0.0
2017-03-31,9.8,$0.02,422.41
2016-12-31,10.85,$-0.05,0.0
2016-09-30,9.4,$-0.11,0.0
2016-06-30,5.51,$-0.11,0.0
2016-03-31,7.39,$-0.14,0.0
2015-12-31,7.14,$-0.11,0.0
2015-09-30,7.76,$-0.18,0.0
2015-06-30,9.66,$-0.21,0.0
2015-03-31,7.43,$-0.28,0.0
2014-12-31,9.11,$-0.32,0.0
2014-09-30,10.63,$-0.19,0.0
2014-06-30,16.8,$-0.12,0.0
2014-03-31,18.8,$-0.06,0.0
2013-12-31,16.19,$-0.00,0.0
2013-09-30,13.54,$-0.03,0.0
2013-06-30,10.15,$-0.03,0.0
2013-03-31,5.63,$0.00,0.0
2012-12-31,6.1,$0.03,233.72
2012-09-30,7.56,$0.06,121.74
2012-06-30,7.77,$0.06,139.75
2012-03-31,10.83,$0.09,125.64
2011-12-31,10.49,$0.12,87.71
2011-09-30,7.8,$0.13,58.91
2011-06-30,5.3,$0.09,57.55
2011-03-31,5.57,$-0.08,0.0
2010-12-31,6.1,$-0.14,0.0
2010-09-30,5.41,$-0.15,0.0
2010-06-30,5.72,$-0.13,0.0
2010-03-31,3.82,$-0.01,0.0
2017-09-30,12.45,$0.04,332.89
2009-12-31,3.1,$0.03,112.32
