Associated Banc-Corp Price to Free Cash Flow Ratio Historical Data,Associated Banc-Corp Price to Free Cash Flow Ratio Historical Data,Associated Banc-Corp Price to Free Cash Flow Ratio Historical Data,Associated Banc-Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.16,,7.29
2024-06-30,20.94,$3.18,6.6
2024-03-31,21.3,$3.27,6.52
2023-12-31,20.96,$2.53,8.3
2023-09-30,16.56,$2.92,5.67
2023-06-30,15.52,$3.16,4.91
2023-03-31,16.95,$3.91,4.34
2022-12-31,21.58,$5.21,4.14
2022-09-30,18.61,$5.46,3.41
2022-06-30,16.75,$4.80,3.49
2022-03-31,20.68,$3.68,5.62
2021-12-31,20.36,$3.14,6.48
2021-09-30,19.13,$2.87,6.67
2021-06-30,18.12,$2.88,6.3
2021-03-31,18.73,$4.41,4.25
2020-12-31,14.83,$3.22,4.6
2020-09-30,10.85,$3.05,3.56
2020-06-30,11.61,$4.61,2.52
2020-03-31,10.71,$3.09,3.46
2019-12-31,18.27,$3.13,5.84
2019-09-30,16.64,$3.65,4.56
2019-06-30,17.22,$2.25,7.66
2019-03-31,17.25,$2.18,7.93
2018-12-31,15.87,$2.54,6.25
2018-09-30,20.7,$2.33,8.9
2018-06-30,21.62,$1.26,17.1
2018-03-31,19.57,$1.91,10.24
2017-12-31,19.88,$2.68,7.43
2017-09-30,18.88,$3.27,5.78
2017-06-30,19.51,$5.37,3.63
2017-03-31,18.8,$4.87,3.86
2016-12-31,18.94,$3.58,5.28
2016-09-30,14.94,$2.56,5.84
2016-06-30,13.01,$1.31,9.9
2016-03-31,13.53,$1.33,10.16
2015-12-31,14.05,$1.64,8.58
2015-09-30,13.39,$1.59,8.45
2015-06-30,15.03,$0.82,18.31
2015-03-31,13.72,$0.54,25.52
2014-12-31,13.67,$0.94,14.5
2014-09-30,12.71,$1.13,11.23
2014-06-30,13.13,$2.11,6.22
2014-03-31,13.04,$2.17,6.02
2013-12-31,12.5,$2.47,5.05
2013-09-30,11.07,$1.99,5.57
2013-06-30,11.06,$1.34,8.24
2013-03-31,10.75,$1.67,6.44
2012-12-31,9.23,$1.55,5.97
2012-09-30,9.2,$1.74,5.29
2012-06-30,9.19,$1.08,8.55
2012-03-31,9.69,$0.81,11.89
2011-12-31,7.72,$1.34,5.74
2011-09-30,6.42,$1.94,3.32
2011-06-30,9.59,$2.82,3.4
2011-03-31,10.24,$3.17,3.23
2010-12-31,10.44,$2.77,3.76
2010-09-30,9.08,$1.99,4.55
2010-06-30,8.44,$5.14,1.64
2010-03-31,9.46,$0.17,57.23
2009-12-31,7.56,$0.77,9.76
