Manchester United Price to Free Cash Flow Ratio Historical Data,Manchester United Price to Free Cash Flow Ratio Historical Data,Manchester United Price to Free Cash Flow Ratio Historical Data,Manchester United Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.46,,20.54
2024-06-30,16.14,$0.80,20.14
2024-03-31,13.96,$0.34,40.56
2023-12-31,20.38,$0.77,26.52
2023-09-30,19.79,$0.76,25.9
2023-06-30,24.38,$0.59,41.17
2023-03-31,22.15,$0.14,156.21
2022-12-31,23.33,$0.04,541.3
2022-09-30,13.27,$0.14,97.14
2022-06-30,11.12,$0.72,15.47
2022-03-31,14.36,$0.58,24.73
2021-12-31,14.14,$0.63,22.36
2021-09-30,19.12,$0.91,21.01
2021-06-30,14.9,$0.88,16.89
2021-03-31,15.44,$2.32,6.64
2020-12-31,16.42,$0.61,26.9
2020-09-30,14.18,$0.42,33.92
2020-06-30,15.44,$-0.19,0.0
2020-03-31,14.6,$-0.67,0.0
2019-12-31,19.33,$0.97,19.85
2019-09-30,15.86,$0.81,19.48
2019-06-30,17.45,$1.82,9.61
2019-03-31,18.47,$1.18,15.64
2018-12-31,18.24,$1.46,12.46
2018-09-30,21.62,$1.44,15.06
2018-06-30,19.8,$0.67,29.4
2018-03-31,18.36,$1.53,11.99
2017-12-31,18.94,$1.36,13.93
2017-09-30,17.14,$1.39,12.33
2017-06-30,15.47,$1.69,9.15
2017-03-31,16.0,$1.69,9.45
2016-12-31,13.5,$1.45,9.31
2016-09-30,15.89,$1.72,9.26
2016-06-30,15.0,$1.64,9.14
2016-03-31,13.56,$2.17,6.24
2015-12-31,16.67,$1.28,13.04
2015-09-30,16.03,$0.94,17.05
2015-06-30,16.63,$1.33,12.51
2015-03-31,14.82,$0.07,225.2
2014-12-31,14.81,$0.78,18.95
2014-09-30,15.35,$1.16,13.26
2014-06-30,16.25,$0.62,26.42
2014-03-31,16.06,$0.65,24.78
2013-12-31,14.46,$0.30,47.5
2013-09-30,16.18,$0.55,29.41
2013-06-30,14.83,$0.43,34.61
