Spectrum Brands Holdings Price to Free Cash Flow Ratio Historical Data,Spectrum Brands Holdings Price to Free Cash Flow Ratio Historical Data,Spectrum Brands Holdings Price to Free Cash Flow Ratio Historical Data,Spectrum Brands Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,91.67,,0.0
2024-06-30,85.54,$-11.46,0.0
2024-03-31,88.21,$-16.07,0.0
2023-12-31,78.66,$-10.21,0.0
2023-09-30,76.78,$-11.65,0.0
2023-06-30,76.1,$3.16,24.07
2023-03-31,64.2,$6.49,9.89
2022-12-31,58.67,$2.21,26.5
2022-09-30,37.27,$-2.88,0.0
2022-06-30,77.83,$1.60,48.73
2022-03-31,83.78,$2.42,34.65
2021-12-31,95.61,$1.50,63.71
2021-09-30,89.57,$5.67,15.8
2021-06-30,79.2,$4.69,16.87
2021-03-31,78.79,$7.97,9.88
2020-12-31,72.84,$7.38,9.87
2020-09-30,52.38,$5.60,9.35
2020-06-30,41.77,$9.54,4.38
2020-03-31,32.73,$5.31,6.17
2019-12-31,57.45,$0.84,68.2
2019-09-30,46.79,$-0.73,0.0
2019-06-30,47.34,$-46.23,0.0
2019-03-31,47.91,$-43.40,0.0
2018-12-31,36.66,$-42.00,0.0
2018-09-30,64.31,$7.34,8.76
2018-06-30,69.53,$61.84,1.12
2018-03-31,87.59,$61.37,1.43
2017-12-31,90.03,$65.09,1.38
2017-09-30,82.92,$23.70,3.5
2017-06-30,94.07,$22.81,4.12
2017-03-31,102.62,$31.17,3.29
2016-12-31,82.65,$32.44,2.55
2016-09-30,83.39,$27.25,3.06
2016-06-30,72.93,$23.77,3.07
2016-03-31,73.99,$15.24,4.86
2015-12-31,72.03,$9.90,7.27
2015-09-30,62.31,$7.12,8.75
2015-06-30,69.05,$14.08,4.91
2015-03-31,66.29,$20.26,3.27
2014-12-31,75.21,$23.07,3.26
2014-09-30,69.69,$24.27,2.87
2014-06-30,67.46,$21.29,3.17
2014-03-31,64.96,$17.03,3.82
2013-12-31,62.94,$18.84,3.34
2013-09-30,55.08,$18.72,2.94
2013-06-30,40.05,$18.68,2.14
2013-03-31,43.88,$17.23,2.55
2012-12-31,40.85,$20.67,1.98
2012-09-30,44.78,$25.23,1.77
2012-06-30,41.38,$15.38,2.69
2012-03-31,27.51,$14.95,1.84
2011-12-31,21.3,$4.12,5.18
2011-09-30,26.93,$4.59,5.87
2011-06-30,32.45,$-3.61,0.0
2011-03-31,27.67,$-5.89,0.0
2010-12-31,32.88,$-3.81,0.0
2010-09-30,29.48,$-3.81,0.0
2010-06-30,33.36,$-3.38,0.0
2010-03-31,35.96,$-4.62,0.0
2009-12-31,37.29,$-0.47,0.0
