QCR Holdings Price to Free Cash Flow Ratio Historical Data,QCR Holdings Price to Free Cash Flow Ratio Historical Data,QCR Holdings Price to Free Cash Flow Ratio Historical Data,QCR Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,81.72,,4.41
2024-06-30,59.95,$18.51,3.24
2024-03-31,60.63,$19.72,3.07
2023-12-31,58.22,$21.46,2.71
2023-09-30,48.33,$6.88,7.02
2023-06-30,40.82,$6.83,5.98
2023-03-31,43.62,$6.14,7.1
2022-12-31,49.25,$5.18,9.51
2022-09-30,50.48,$4.12,12.24
2022-06-30,53.44,$4.71,11.34
2022-03-31,55.95,$4.40,12.7
2021-12-31,55.31,$4.76,11.61
2021-09-30,50.75,$2.34,21.66
2021-06-30,47.39,$6.15,7.7
2021-03-31,46.47,$6.99,6.65
2020-12-31,38.92,$6.77,5.75
2020-09-30,26.9,$9.81,2.74
2020-06-30,30.54,$5.06,6.03
2020-03-31,26.46,$4.24,6.25
2019-12-31,42.78,$4.17,10.25
2019-09-30,37.0,$3.98,9.29
2019-06-30,33.91,$3.10,10.94
2019-03-31,32.93,$3.30,9.99
2018-12-31,31.1,$3.51,8.87
2018-09-30,39.52,$2.20,17.95
2018-06-30,45.84,$2.70,16.98
2018-03-31,43.27,$1.85,23.39
2017-12-31,41.29,$2.04,20.21
2017-09-30,43.79,$1.93,22.73
2017-06-30,45.57,$2.15,21.23
2017-03-31,40.67,$2.40,16.93
2016-12-31,41.53,$1.87,22.2
2016-09-30,30.42,$2.51,12.1
2016-06-30,26.02,$2.89,8.99
2016-03-31,22.79,$2.39,9.56
2015-12-31,23.18,$2.45,9.47
2015-09-30,20.83,$2.37,8.78
2015-06-30,20.73,$2.67,7.78
2015-03-31,16.97,$2.83,5.99
2014-12-31,16.98,$2.93,5.8
2014-09-30,16.75,$2.47,6.78
2014-06-30,16.36,$2.60,6.3
2014-03-31,16.24,$4.28,3.79
2013-12-31,16.12,$5.24,3.07
2013-09-30,15.0,$6.99,2.15
2013-06-30,14.59,$8.50,1.72
2013-03-31,15.54,$6.09,2.55
2012-12-31,12.45,$5.85,2.13
2012-09-30,14.07,$5.70,2.47
2012-06-30,12.3,$2.84,4.32
2012-03-31,11.42,$4.47,2.56
2011-12-31,8.52,$7.01,1.21
2011-09-30,8.17,$7.16,1.14
2011-06-30,8.31,$6.69,1.24
2011-03-31,7.79,$5.91,1.32
2010-12-31,6.62,$3.40,1.95
2010-09-30,8.34,$0.06,144.98
2010-06-30,9.11,$2.22,4.1
2010-03-31,8.18,$2.37,3.45
2009-12-31,7.68,$2.49,3.09
