Veeco Instruments Price to Free Cash Flow Ratio Historical Data,Veeco Instruments Price to Free Cash Flow Ratio Historical Data,Veeco Instruments Price to Free Cash Flow Ratio Historical Data,Veeco Instruments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.57,,57.52
2024-06-30,46.71,$0.53,87.88
2024-03-31,35.17,$0.60,58.62
2023-12-31,31.03,$0.63,49.44
2023-09-30,28.11,$0.71,39.79
2023-06-30,25.68,$1.33,19.24
2023-03-31,21.13,$1.18,17.87
2022-12-31,18.58,$1.28,14.53
2022-09-30,18.32,$0.97,18.86
2022-06-30,19.4,$0.50,38.51
2022-03-31,27.19,$0.56,48.82
2021-12-31,28.47,$0.51,56.35
2021-09-30,22.21,$0.61,36.29
2021-06-30,24.04,$0.64,37.52
2021-03-31,20.74,$0.98,21.12
2020-12-31,17.36,$0.75,23.18
2020-09-30,11.67,$0.77,15.25
2020-06-30,13.49,$0.25,54.31
2020-03-31,9.57,$0.06,148.14
2019-12-31,14.69,$-0.39,0.0
2019-09-30,11.68,$-0.76,0.0
2019-06-30,12.22,$-0.08,0.0
2019-03-31,10.84,$-1.29,0.0
2018-12-31,7.41,$-1.07,0.0
2018-09-30,10.25,$-0.67,0.0
2018-06-30,14.25,$-0.59,0.0
2018-03-31,17.0,$-0.11,0.0
2017-12-31,14.85,$0.24,61.19
2017-09-30,21.4,$-0.07,0.0
2017-06-30,27.85,$-0.32,0.0
2017-03-31,29.85,$-0.26,0.0
2016-12-31,29.15,$-0.90,0.0
2016-09-30,19.63,$-1.16,0.0
2016-06-30,16.56,$-1.14,0.0
2016-03-31,19.48,$-0.56,0.0
2015-12-31,20.56,$0.05,429.23
2015-09-30,20.51,$1.49,13.76
2015-06-30,28.74,$1.42,20.23
2015-03-31,30.55,$1.39,22.02
2014-12-31,34.88,$0.91,38.4
2014-09-30,34.95,$-0.27,0.0
2014-06-30,37.26,$-0.67,0.0
2014-03-31,41.93,$-0.79,0.0
2013-12-31,32.91,$-0.10,0.0
2013-09-30,37.22,$0.02,2056.41
2013-06-30,35.41,$1.31,27.09
2013-03-31,38.41,$1.60,23.97
2012-12-31,29.49,$2.23,13.24
2012-09-30,30.0,$3.15,9.53
2012-06-30,34.36,$1.43,23.95
2012-03-31,28.6,$-2.12,0.0
2011-12-31,20.8,$-2.92,0.0
2011-09-30,24.4,$-2.06,0.0
2011-06-30,48.41,$0.06,809.53
2010-12-31,42.96,$4.32,9.95
2010-09-30,34.87,$4.32,8.07
2010-06-30,34.28,$3.98,8.62
2010-03-31,43.48,$2.98,14.61
2009-12-31,33.04,$2.17,15.23
2011-03-31,50.84,$2.09,24.29
