Phreesia Price to Free Cash Flow Ratio Historical Data,Phreesia Price to Free Cash Flow Ratio Historical Data,Phreesia Price to Free Cash Flow Ratio Historical Data,Phreesia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.4,,0.0
2024-07-31,24.95,$-0.45,0.0
2024-04-30,20.74,$-0.79,0.0
2024-01-31,25.48,$-1.05,0.0
2023-10-31,13.66,$-1.28,0.0
2023-07-31,31.72,$-1.60,0.0
2023-04-30,31.64,$-1.81,0.0
2023-01-31,37.49,$-2.22,0.0
2022-10-31,27.32,$-2.70,0.0
2022-07-31,23.49,$-2.94,0.0
2022-04-30,22.88,$-2.63,0.0
2022-01-31,31.19,$-2.12,0.0
2021-10-31,70.54,$-1.28,0.0
2021-07-31,68.35,$-0.63,0.0
2021-04-30,51.75,$-0.64,0.0
2021-01-31,65.29,$-0.40,0.0
2020-10-31,36.97,$-0.62,0.0
2020-07-31,30.06,$-0.33,0.0
2020-04-30,25.39,$-0.60,0.0
