Delta Air Lines Price to Free Cash Flow Ratio Historical Data,Delta Air Lines Price to Free Cash Flow Ratio Historical Data,Delta Air Lines Price to Free Cash Flow Ratio Historical Data,Delta Air Lines Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,42.49,,25.22
2024-06-30,47.28,$1.68,28.07
2024-03-31,47.61,$1.73,27.59
2023-12-31,39.92,$1.77,22.5
2023-09-30,36.61,$1.83,19.96
2023-06-30,46.94,$1.25,37.51
2023-03-31,34.48,$1.92,17.96
2022-12-31,32.45,$-0.00,0.0
2022-09-30,27.71,$0.54,51.19
2022-06-30,28.61,$0.38,75.44
2022-03-31,39.07,$-0.36,0.0
2021-12-31,38.59,$0.03,1456.15
2021-09-30,42.07,$-1.81,0.0
2021-06-30,42.72,$-5.02,0.0
2021-03-31,47.67,$-7.64,0.0
2020-12-31,39.7,$-8.95,0.0
2020-09-30,30.2,$-6.27,0.0
2020-06-30,27.7,$0.02,1521.81
2020-03-31,28.17,$3.56,7.91
2019-12-31,57.35,$5.34,10.73
2019-09-30,56.07,$2.84,19.73
2019-06-30,54.89,$1.62,33.87
2019-03-31,49.65,$0.92,54.19
2018-12-31,47.63,$0.15,308.91
2018-09-30,54.86,$3.86,14.2
2018-06-30,46.68,$3.96,11.8
2018-03-31,51.34,$3.91,13.14
2017-12-31,52.15,$1.57,33.31
2017-09-30,44.64,$0.94,47.43
2017-06-30,49.43,$1.70,29.16
2017-03-31,42.1,$-3.36,0.0
2016-12-31,44.88,$-0.45,0.0
2016-09-30,35.75,$1.14,31.49
2016-06-30,32.9,$1.76,18.75
2015-12-31,45.5,$6.20,7.34
2015-09-30,40.17,$8.60,4.67
2015-06-30,36.67,$6.82,5.38
2015-03-31,40.05,$5.63,7.11
2014-12-31,43.73,$6.17,7.09
2016-03-31,43.83,$3.47,12.62
2014-09-30,32.07,$3.56,9.0
2014-06-30,34.26,$3.09,11.09
2014-03-31,30.61,$2.29,13.37
2013-12-31,24.22,$2.31,10.48
2013-09-30,20.75,$2.05,10.1
2013-06-30,16.41,$1.48,11.07
2013-03-31,14.48,$0.51,28.15
2012-12-31,10.41,$0.60,17.43
2012-09-30,8.04,$1.52,5.29
2012-06-30,9.61,$1.09,8.84
2012-03-31,8.7,$1.84,4.73
2011-12-31,7.1,$1.87,3.79
2011-09-30,6.58,$0.81,8.11
2011-06-30,8.04,$1.34,5.99
2011-03-31,8.6,$1.54,5.6
2010-12-31,11.05,$1.77,6.25
2010-09-30,10.21,$1.13,9.02
2010-06-30,10.31,$0.83,12.45
2010-03-31,12.8,$0.64,20.03
2009-12-31,9.98,$0.21,46.65
