First Commonwealth Financial Price to Free Cash Flow Ratio Historical Data,First Commonwealth Financial Price to Free Cash Flow Ratio Historical Data,First Commonwealth Financial Price to Free Cash Flow Ratio Historical Data,First Commonwealth Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.69,,16.38
2024-06-30,13.7,$1.08,12.69
2024-03-31,13.68,$1.31,10.44
2023-12-31,15.03,$1.26,11.89
2023-09-30,11.77,$1.27,9.25
2023-06-30,12.09,$1.64,7.36
2023-03-31,11.75,$1.50,7.83
2022-12-31,13.11,$1.49,8.78
2022-09-30,11.94,$1.51,7.93
2022-06-30,12.38,$1.45,8.52
2022-03-31,13.86,$1.39,9.99
2021-12-31,14.61,$1.61,9.07
2021-09-30,12.29,$1.53,8.03
2021-06-30,12.57,$1.26,10.0
2021-03-31,12.74,$1.21,10.52
2020-12-31,9.62,$1.00,9.59
2020-09-30,6.72,$0.93,7.2
2020-06-30,7.09,$1.17,6.08
2020-03-31,7.72,$1.07,7.23
2019-12-31,12.16,$0.92,13.28
2019-09-30,11.05,$1.04,10.62
2019-06-30,11.12,$0.92,12.09
2019-03-31,10.33,$1.21,8.5
2018-12-31,9.83,$1.27,7.76
2018-09-30,13.05,$1.11,11.75
2018-06-30,12.47,$0.98,12.68
2018-03-31,11.29,$0.71,15.85
2017-12-31,11.38,$0.80,14.15
2017-09-30,11.17,$0.87,12.91
2017-06-30,9.96,$0.93,10.72
2017-03-31,10.35,$1.02,10.19
2016-12-31,11.01,$0.92,11.96
2016-09-30,7.78,$0.82,9.44
2016-06-30,7.04,$0.91,7.76
2016-03-31,6.73,$0.80,8.41
2015-12-31,6.83,$0.76,8.99
2015-09-30,6.8,$0.80,8.55
2015-06-30,7.12,$0.56,12.74
2015-03-31,6.63,$0.72,9.18
2014-12-31,6.73,$0.76,8.81
2014-09-30,6.08,$0.64,9.45
2014-06-30,6.63,$0.80,8.29
2014-03-31,6.45,$0.32,20.05
2013-12-31,6.24,$0.32,19.37
2013-09-30,5.33,$0.34,15.79
2013-06-30,5.13,$0.25,20.17
2012-12-31,4.68,$0.66,7.09
2012-09-30,4.8,$1.08,4.45
2012-06-30,4.55,$1.04,4.35
2012-03-31,4.1,$1.05,3.9
2011-12-31,3.51,$1.05,3.33
2013-03-31,5.15,$0.61,8.48
2011-09-30,2.45,$0.83,2.96
2011-06-30,3.78,$0.80,4.71
2011-03-31,4.49,$1.01,4.47
2010-12-31,4.62,$1.14,4.06
2010-09-30,3.55,$0.76,4.65
2010-06-30,3.41,$0.79,4.3
2010-03-31,4.36,$0.76,5.72
2009-12-31,3.01,$0.60,5.03
