CSW Industrials Price to Free Cash Flow Ratio Historical Data,CSW Industrials Price to Free Cash Flow Ratio Historical Data,CSW Industrials Price to Free Cash Flow Ratio Historical Data,CSW Industrials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,391.16,,59.03
2024-06-30,265.12,$6.63,40.01
2024-03-31,234.23,$4.84,48.41
2023-12-31,206.89,$5.70,36.28
2023-09-30,174.62,$4.75,36.73
2023-03-31,138.09,$6.92,19.95
2022-12-31,115.08,$5.37,21.44
2022-09-30,118.77,$6.16,19.3
2022-06-30,102.0,$5.80,17.58
2022-03-31,116.23,$6.12,19.0
2023-06-30,165.42,$6.77,24.43
2021-12-31,119.3,$4.90,24.37
2021-09-30,125.91,$3.87,32.5
2021-06-30,116.65,$4.51,25.89
2021-03-31,132.79,$4.20,31.58
2020-12-31,109.96,$3.59,30.66
2020-09-30,75.78,$4.44,17.07
2020-06-30,67.66,$4.29,15.78
2020-03-31,63.36,$3.93,16.12
2019-12-31,75.1,$4.05,18.56
2019-09-30,67.2,$4.39,15.29
2019-06-30,66.21,$3.61,18.35
2019-03-31,55.54,$3.82,14.52
2018-12-31,46.87,$3.50,13.4
2018-09-30,52.06,$2.65,19.67
2018-06-30,51.24,$2.58,19.88
2018-03-31,43.67,$2.44,17.89
2017-12-31,44.55,$2.58,17.25
2017-09-30,43.0,$2.60,16.51
2017-06-30,37.47,$2.54,14.77
2017-03-31,35.58,$2.07,17.2
2016-12-31,35.72,$1.72,20.81
2016-09-30,31.4,$2.96,10.59
