First Merchants Price to Free Cash Flow Ratio Historical Data,First Merchants Price to Free Cash Flow Ratio Historical Data,First Merchants Price to Free Cash Flow Ratio Historical Data,First Merchants Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.65,,8.73
2024-06-30,32.97,$4.54,7.26
2024-03-31,34.19,$3.87,8.83
2023-12-31,35.96,$4.35,8.26
2023-09-30,26.68,$5.37,4.97
2023-06-30,26.77,$5.20,5.14
2023-03-31,30.85,$5.44,5.67
2022-12-31,38.19,$4.91,7.78
2022-09-30,35.67,$3.43,10.39
2022-06-30,32.59,$3.84,8.49
2022-03-31,37.76,$3.95,9.56
2021-12-31,37.77,$3.99,9.47
2021-09-30,37.46,$4.08,9.18
2021-06-30,37.05,$3.39,10.93
2021-03-31,41.08,$3.43,11.97
2020-12-31,32.86,$3.76,8.74
2020-09-30,20.19,$3.45,5.84
2020-06-30,23.79,$3.88,6.13
2020-03-31,22.65,$3.68,6.15
2019-12-31,35.3,$3.43,10.3
2019-09-30,31.73,$3.54,8.97
2019-06-30,31.5,$3.67,8.59
2019-03-31,30.4,$4.06,7.48
2018-12-31,28.12,$3.64,7.72
2018-09-30,36.71,$3.91,9.4
2018-06-30,37.69,$3.08,12.24
2018-03-31,33.71,$2.56,13.19
2017-12-31,33.85,$2.79,12.15
2017-09-30,34.41,$2.19,15.7
2017-06-30,32.03,$3.09,10.36
2017-03-31,31.23,$2.78,11.23
2016-12-31,29.79,$2.53,11.78
2016-09-30,21.08,$2.04,10.34
2016-06-30,19.54,$1.33,14.71
2016-03-31,18.38,$1.63,11.29
2015-12-31,19.72,$1.49,13.26
2015-09-30,20.26,$2.05,9.88
2015-06-30,19.01,$2.24,8.48
2015-03-31,18.03,$2.36,7.64
2014-12-31,17.36,$2.07,8.37
2014-09-30,15.37,$5.27,2.92
2014-06-30,16.01,$5.38,2.97
2014-03-31,16.33,$5.88,2.78
2013-12-31,17.1,$6.10,2.8
2013-09-30,13.01,$3.08,4.22
2013-06-30,12.84,$2.64,4.86
2013-03-31,11.55,$2.48,4.66
2012-12-31,11.06,$2.44,4.54
2012-09-30,11.16,$2.29,4.87
2012-06-30,9.24,$2.28,4.06
2012-03-31,9.13,$1.83,5.0
2011-12-31,6.26,$3.20,1.96
2011-09-30,5.21,$3.48,1.49
2011-06-30,6.59,$3.71,1.77
2011-03-31,6.08,$3.59,1.69
2010-12-31,6.52,$3.29,1.98
2010-09-30,5.61,$3.14,1.79
2010-06-30,6.22,$2.39,2.61
2010-03-31,5.1,$2.46,2.07
2009-12-31,4.35,$0.83,5.21
