Keros Therapeutics Price to Free Cash Flow Ratio Historical Data,Keros Therapeutics Price to Free Cash Flow Ratio Historical Data,Keros Therapeutics Price to Free Cash Flow Ratio Historical Data,Keros Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,61.09,,0.0
2024-06-30,45.7,$-4.44,0.0
2024-03-31,66.2,$-4.34,0.0
2023-12-31,39.76,$-4.31,0.0
2023-09-30,31.88,$-4.29,0.0
2023-06-30,40.18,$-4.04,0.0
2023-03-31,42.7,$-4.00,0.0
2022-12-31,48.02,$-2.82,0.0
2022-09-30,37.62,$-2.79,0.0
2022-06-30,27.63,$-2.50,0.0
2022-03-31,54.38,$-2.31,0.0
2021-12-31,58.51,$-2.71,0.0
2021-09-30,39.56,$-2.81,0.0
2021-06-30,42.47,$-2.60,0.0
2021-03-31,61.55,$-2.86,0.0
