Leonardo DRS Price to Free Cash Flow Ratio Historical Data,Leonardo DRS Price to Free Cash Flow Ratio Historical Data,Leonardo DRS Price to Free Cash Flow Ratio Historical Data,Leonardo DRS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.85,,30.95
2024-06-30,25.51,$0.93,27.37
2024-03-31,22.09,$0.85,26.07
2023-12-31,20.04,$0.55,36.24
2023-09-30,16.7,$-0.14,0.0
2023-06-30,17.34,$-0.30,0.0
2023-03-31,12.97,$-0.20,0.0
2022-12-31,12.78,$-0.15,0.0
2022-09-30,9.63,$0.27,35.29
2022-06-30,9.24,$-0.82,0.0
2022-03-31,13.93,$-0.71,0.0
2021-12-31,9.42,$0.56,16.76
2021-09-30,10.64,$-1.08,0.0
2021-06-30,12.18,$0.27,44.83
2021-03-31,12.01,$-0.03,0.0
2020-12-31,9.75,$-0.03,0.0
2020-09-30,5.93,$-0.21,0.0
2020-06-30,6.54,$-0.19,0.0
2020-03-31,3.5,$-0.21,0.0
2019-12-31,5.19,$-0.21,0.0
2019-09-30,4.76,$-0.14,0.0
2019-06-30,3.29,$-0.40,0.0
2019-03-31,2.94,$-0.14,0.0
2018-12-31,2.58,$-0.14,0.0
2018-09-30,2.93,$-0.00,0.0
2018-06-30,3.08,$0.10,32.39
2018-03-31,2.36,$-0.00,0.0
2017-12-31,3.08,$-0.00,0.0
2017-09-30,3.41,$-0.38,0.0
2017-06-30,1.8,$-0.41,0.0
2017-03-31,1.12,$-0.38,0.0
2016-12-31,1.16,$-0.38,0.0
2016-09-30,1.1,$-0.39,0.0
2016-06-30,1.17,$-0.39,0.0
2016-03-31,0.8,$-0.39,0.0
2015-12-31,0.71,$-0.39,0.0
2015-09-30,1.47,$-0.04,0.0
2015-06-30,3.86,$-0.04,0.0
2015-03-31,5.8,$-0.04,0.0
2014-12-31,5.0,$-0.04,0.0
2014-09-30,5.96,$0.24,25.07
2014-06-30,2.78,$0.24,11.7
2014-03-31,3.12,$0.24,13.13
2013-12-31,2.9,$0.24,12.2
2013-09-30,2.88,$-0.32,0.0
2013-06-30,2.94,$-0.32,0.0
2013-03-31,2.28,$-0.32,0.0
2012-12-31,2.1,$-0.32,0.0
2012-09-30,2.3,$-0.45,0.0
2012-06-30,2.14,$-0.45,0.0
2012-03-31,3.96,$-0.45,0.0
2011-12-31,3.85,$-0.45,0.0
2011-09-30,3.96,$-0.55,0.0
2011-06-30,7.9,$-0.55,0.0
2011-03-31,6.94,$-0.55,0.0
2010-12-31,4.94,$-0.55,0.0
2010-09-30,5.0,0,0.0
2010-06-30,4.4,0,0.0
2010-03-31,5.16,0,0.0
2009-12-31,4.46,0,0.0
