Cimpress Price to Free Cash Flow Ratio Historical Data,Cimpress Price to Free Cash Flow Ratio Historical Data,Cimpress Price to Free Cash Flow Ratio Historical Data,Cimpress Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,79.23,,8.2
2024-06-30,87.61,$9.67,9.06
2024-03-31,88.51,$6.65,13.31
2023-12-31,80.05,$6.75,11.85
2023-09-30,70.01,$3.29,21.29
2023-06-30,59.48,$0.89,66.76
2023-03-31,43.82,$2.21,19.81
2022-12-31,27.61,$-0.23,0.0
2022-09-30,24.48,$2.76,8.88
2022-06-30,38.9,$5.29,7.36
2022-03-31,63.59,$3.23,19.7
2021-12-31,71.61,$3.97,18.05
2021-09-30,86.83,$3.87,22.43
2021-06-30,108.41,$6.60,16.44
2021-03-31,100.13,$6.67,15.02
2020-12-31,87.74,$9.36,9.37
2020-09-30,75.16,$5.39,13.94
2020-06-30,76.34,$4.70,16.23
2020-03-31,53.2,$3.55,14.99
2019-12-31,125.77,$8.01,15.71
2019-06-30,90.89,$6.71,13.54
2019-03-31,80.13,$5.77,13.89
2018-12-31,103.42,$7.41,13.97
2018-09-30,136.61,$1.01,135.15
2018-06-30,144.96,$5.45,26.58
2019-09-30,131.84,$3.43,38.45
2018-03-31,154.7,$2.59,59.79
2017-12-31,119.88,$5.88,20.37
2017-09-30,97.66,$1.20,81.7
2017-06-30,94.53,$2.20,43.05
2017-03-31,86.19,$2.22,38.82
2016-09-30,101.18,$3.74,27.06
2016-06-30,92.48,$4.25,21.74
2016-03-31,90.69,$6.23,14.55
2015-12-31,81.14,$3.86,21.0
2015-09-30,76.11,$-0.07,0.0
2015-06-30,84.16,$3.43,24.57
2016-12-31,91.61,$1.82,50.39
2015-03-31,84.38,$4.83,17.48
2014-12-31,74.84,$5.12,14.61
2014-09-30,54.79,$3.64,15.04
2014-06-30,40.46,$2.10,19.28
2014-03-31,49.22,$1.66,29.7
2013-12-31,56.85,$1.88,30.17
2013-09-30,56.6,$1.65,34.4
2013-06-30,49.37,$1.55,31.9
2013-03-31,38.66,$1.01,38.43
2012-12-31,32.86,$1.16,28.37
2012-09-30,34.15,$1.19,28.67
2012-06-30,32.3,$2.28,14.18
2012-03-31,38.65,$2.80,13.8
2011-12-31,30.6,$3.40,9.01
2011-09-30,27.03,$3.00,9.0
2011-06-30,47.85,$2.65,18.08
2011-03-31,51.9,$2.11,24.57
2010-12-31,46.0,$1.65,27.91
2010-09-30,38.65,$0.84,46.02
2010-06-30,47.49,$1.02,46.77
2010-03-31,57.37,$1.16,49.26
2009-12-31,56.66,$1.62,34.99
