Adecoagro S.A Price to Free Cash Flow Ratio Historical Data,Adecoagro S.A Price to Free Cash Flow Ratio Historical Data,Adecoagro S.A Price to Free Cash Flow Ratio Historical Data,Adecoagro S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.39,,4.0
2024-06-30,9.73,$2.85,3.42
2024-03-31,10.86,$2.11,5.15
2023-12-31,10.93,$2.14,5.11
2023-09-30,11.34,$2.82,4.03
2023-06-30,9.08,$1.18,7.69
2023-03-31,7.7,$1.10,7.01
2022-12-31,7.89,$1.41,5.59
2022-09-30,7.75,$0.56,13.76
2022-06-30,7.9,$0.78,10.12
2022-03-31,11.13,$1.08,10.34
2021-12-31,7.08,$1.29,5.48
2021-09-30,8.32,$1.10,7.59
2021-06-30,9.25,$0.86,10.79
2021-03-31,7.24,$0.31,23.07
2020-12-31,6.27,$0.86,7.3
2020-09-30,4.3,$1.08,3.98
2020-06-30,4.0,$1.27,3.16
2020-03-31,3.58,$1.17,3.06
2019-12-31,7.71,$0.62,12.42
2019-09-30,5.37,$0.28,19.45
2019-06-30,6.58,$0.21,31.78
2019-03-31,6.35,$0.21,30.35
2018-12-31,6.41,$0.33,19.38
2018-09-30,6.77,$0.77,8.75
2018-06-30,7.33,$0.10,70.1
2018-03-31,6.93,$0.30,23.36
2017-12-31,9.53,$0.33,28.96
2017-09-30,9.95,$0.83,12.06
2017-06-30,9.21,$0.97,9.53
2017-03-31,10.56,$0.60,17.58
2016-12-31,9.56,$1.00,9.53
2016-09-30,10.51,$0.25,42.22
2016-06-30,10.11,$0.18,55.45
2016-03-31,10.64,$0.04,240.78
2015-12-31,11.32,$0.19,59.51
2015-09-30,7.33,$-0.36,0.0
2015-06-30,8.5,$-0.32,0.0
2015-03-31,9.42,$-0.24,0.0
2014-12-31,7.38,$-0.62,0.0
2014-09-30,8.11,$-1.46,0.0
2014-06-30,8.7,$-0.22,0.0
2014-03-31,7.52,$-0.49,0.0
2013-12-31,7.45,$-0.20,0.0
2013-09-30,6.83,$0.50,13.77
2013-06-30,5.76,$0.94,6.14
2013-03-31,7.09,$-0.24,0.0
2012-12-31,7.81,$-0.25,0.0
2012-09-30,9.27,$-0.29,0.0
2012-06-30,8.45,$-1.87,0.0
2012-03-31,9.96,$-0.11,0.0
2011-12-31,7.62,$-0.09,0.0
