Benchmark Electronics Price to Free Cash Flow Ratio Historical Data,Benchmark Electronics Price to Free Cash Flow Ratio Historical Data,Benchmark Electronics Price to Free Cash Flow Ratio Historical Data,Benchmark Electronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.99,,6.95
2024-06-30,39.31,$6.48,6.07
2024-03-31,29.77,$5.66,5.26
2023-12-31,27.27,$2.70,10.09
2023-09-30,23.8,$-2.60,0.0
2023-06-30,25.17,$-4.24,0.0
2023-03-31,22.94,$-5.63,0.0
2022-12-31,25.66,$-6.27,0.0
2022-09-30,23.67,$-4.76,0.0
2022-06-30,21.41,$-5.18,0.0
2022-03-31,23.59,$-4.48,0.0
2021-12-31,25.36,$-1.23,0.0
2021-09-30,24.85,$1.35,18.34
2021-06-30,26.32,$2.90,9.09
2021-03-31,28.43,$3.46,8.21
2020-12-31,24.7,$2.21,11.19
2020-09-30,18.32,$0.58,31.74
2020-06-30,19.48,$0.04,516.77
2020-03-31,17.89,$0.92,19.52
2019-12-31,30.52,$1.50,20.3
2019-09-30,25.7,$2.56,10.02
2019-06-30,22.1,$-0.24,0.0
2019-03-31,22.96,$-0.67,0.0
2018-12-31,18.42,$-1.10,0.0
2018-09-30,20.21,$-2.92,0.0
2017-12-31,24.72,$1.84,13.4
2017-09-30,29.0,$7.02,4.13
2017-06-30,27.43,$2.04,13.42
2017-03-31,27.01,$3.39,7.98
2016-12-31,25.9,$3.46,7.49
2018-06-30,25.01,$-1.14,0.0
2016-09-30,21.19,$4.55,4.65
2016-06-30,17.96,$4.66,3.86
2016-03-31,19.58,$4.00,4.89
2015-12-31,17.56,$2.11,8.32
2015-09-30,18.48,$1.92,9.61
2015-06-30,18.5,$0.96,19.25
2015-03-31,20.41,$0.30,67.47
2014-12-31,21.61,$1.67,12.95
2014-09-30,18.86,$1.24,15.2
2014-06-30,21.64,$1.43,15.16
2014-03-31,19.24,$1.41,13.65
2013-12-31,19.6,$1.32,14.91
2013-09-30,19.44,$2.68,7.26
2013-06-30,17.07,$2.77,6.16
2013-03-31,15.3,$3.18,4.81
2012-12-31,14.12,$1.81,7.8
2012-09-30,12.97,$1.19,10.89
2012-06-30,11.85,$0.08,155.49
2012-03-31,14.01,$-0.71,0.0
2011-12-31,11.44,$-0.28,0.0
2011-09-30,11.05,$-0.79,0.0
2011-06-30,14.01,$-0.98,0.0
2011-03-31,16.11,$-0.68,0.0
2010-12-31,15.42,$-1.03,0.0
2010-09-30,13.93,$-1.14,0.0
2018-03-31,25.48,$-0.54,0.0
2010-06-30,13.46,$-0.07,0.0
2010-03-31,17.61,$0.59,29.82
2009-12-31,16.06,$1.56,10.3
