Bausch Health Cos Price to Free Cash Flow Ratio Historical Data,Bausch Health Cos Price to Free Cash Flow Ratio Historical Data,Bausch Health Cos Price to Free Cash Flow Ratio Historical Data,Bausch Health Cos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.36,,9.61
2024-06-30,6.97,$0.87,8.01
2023-12-31,8.02,$2.24,3.58
2023-09-30,8.22,$-1.53,0.0
2023-06-30,8.0,$-1.84,0.0
2023-03-31,8.1,$-5.94,0.0
2022-12-31,6.28,$-6.04,0.0
2024-03-31,10.61,$-3.38,0.0
2022-09-30,6.89,$-3.81,0.0
2022-06-30,8.36,$2.94,2.85
2022-03-31,22.85,$3.72,6.15
2021-12-31,27.61,$5.09,5.43
2021-09-30,27.85,$6.12,4.55
2021-06-30,29.32,$3.43,8.56
2021-03-31,31.74,$2.81,11.29
2020-12-31,20.8,$2.34,8.9
2020-09-30,15.54,$1.83,8.48
2020-06-30,18.29,$2.66,6.87
2020-03-31,15.5,$3.11,4.99
2019-12-31,29.92,$3.62,8.26
2019-09-30,21.85,$3.91,5.58
2019-06-30,25.22,$5.84,4.32
