WesBanco Price to Free Cash Flow Ratio Historical Data,WesBanco Price to Free Cash Flow Ratio Historical Data,WesBanco Price to Free Cash Flow Ratio Historical Data,WesBanco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,31.89,,10.17
2024-06-30,27.59,$3.14,8.8
2024-03-31,29.07,$3.53,8.23
2023-12-31,30.22,$2.47,12.23
2023-09-30,23.23,$1.77,13.1
2023-06-30,24.02,$2.57,9.35
2023-03-31,28.44,$2.47,11.52
2022-12-31,33.9,$3.26,10.41
2022-09-30,30.31,$4.04,7.5
2022-06-30,28.53,$3.02,9.45
2022-03-31,30.59,$5.02,6.09
2021-12-31,30.85,$4.99,6.18
2021-09-30,29.75,$4.71,6.32
2021-06-30,30.78,$2.87,10.74
2021-03-31,30.88,$1.07,28.94
2020-12-31,25.43,$0.77,32.88
2020-09-30,17.94,$0.35,50.59
2020-06-30,16.81,$2.66,6.31
2020-03-31,19.32,$2.24,8.64
2019-12-31,30.35,$2.69,11.29
2019-09-30,29.76,$3.99,7.45
2019-06-30,30.43,$3.69,8.24
2019-03-31,31.1,$4.00,7.78
2018-12-31,28.49,$3.82,7.46
2018-09-30,34.36,$3.48,9.86
2018-06-30,34.51,$3.32,10.38
2018-03-31,32.22,$2.78,11.61
2017-12-31,30.75,$3.09,9.96
2017-09-30,30.84,$2.85,10.82
2017-06-30,29.51,$2.70,10.92
2017-03-31,28.25,$3.01,9.39
2016-12-31,31.71,$3.02,10.51
2016-09-30,24.07,$2.91,8.29
2016-06-30,22.57,$2.60,8.69
2016-03-31,21.43,$3.13,6.84
2015-12-31,21.48,$2.84,7.57
2015-09-30,22.34,$3.00,7.45
2015-03-31,22.81,$3.20,7.13
2014-12-31,24.19,$2.98,8.12
2014-09-30,21.13,$4.97,4.25
2014-06-30,21.29,$2.03,10.49
2014-03-31,21.67,$2.15,10.08
2013-12-31,21.63,$2.47,8.76
2015-06-30,23.98,$0.77,31.11
2013-09-30,19.97,$3.12,6.4
2013-06-30,17.63,$3.07,5.74
2013-03-31,15.85,$2.92,5.42
2012-12-31,14.59,$2.63,5.54
2012-09-30,13.49,$3.41,3.96
2012-06-30,13.73,$3.51,3.91
2012-03-31,12.89,$3.60,3.58
2011-12-31,12.35,$3.99,3.1
2011-09-30,10.9,$4.13,2.64
2011-06-30,12.27,$4.14,2.96
2011-03-31,12.82,$4.04,3.18
2010-12-31,11.65,$3.81,3.06
2010-09-30,9.97,$2.32,4.29
2010-06-30,10.19,$3.49,2.92
2010-03-31,9.75,$1.93,5.05
2009-12-31,7.33,$1.46,5.02
