United Natural Foods Price to Free Cash Flow Ratio Historical Data,United Natural Foods Price to Free Cash Flow Ratio Historical Data,United Natural Foods Price to Free Cash Flow Ratio Historical Data,United Natural Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.05,,0.0
2024-07-31,15.5,$-1.13,0.0
2024-04-30,8.93,$-0.56,0.0
2024-01-31,14.91,$-0.31,0.0
2023-10-31,14.58,$5.02,2.91
2023-07-31,20.8,$5.22,3.98
2023-04-30,27.27,$2.59,10.54
2023-01-31,41.62,$3.13,13.29
2022-10-31,42.41,$-3.00,0.0
2022-07-31,42.51,$-0.00,0.0
2022-04-30,42.93,$3.35,12.8
2022-01-31,38.78,$2.81,13.78
2021-10-31,43.39,$-3.80,0.0
2021-07-31,33.12,$0.00,0.0
2021-04-30,36.86,$4.51,8.17
2021-01-31,27.08,$5.98,4.52
2020-07-31,19.85,$8.01,2.48
2020-04-30,10.64,$12.76,0.83
2020-01-31,7.2,$3.87,1.86
2019-10-31,7.5,$1.17,6.44
2019-07-31,9.86,$6.24,1.58
2020-10-31,14.57,$0.43,34.06
2019-04-30,12.92,$4.64,2.79
2019-01-31,13.1,$3.90,3.36
2018-10-31,21.73,$2.69,8.06
2018-07-31,32.2,$1.29,25.0
2018-04-30,45.02,$0.66,68.4
2018-01-31,47.6,$2.45,19.46
2017-10-31,38.77,$3.72,10.43
2017-07-31,38.53,$4.28,9.0
2017-04-30,41.53,$3.98,10.42
2017-01-31,45.7,$4.46,10.24
2016-10-31,41.74,$4.78,8.73
2016-07-31,49.98,$5.07,9.86
2016-04-30,35.67,$3.99,8.94
2016-01-31,35.02,$2.64,13.25
2015-10-31,50.45,$0.90,56.16
2015-07-31,45.53,$-1.58,0.0
2015-04-30,67.46,$-1.19,0.0
2015-01-31,77.28,$-1.49,0.0
2014-10-31,68.02,$-3.70,0.0
2014-07-31,58.62,$-0.20,0.0
2014-04-30,69.03,$-1.12,0.0
2014-01-31,67.57,$-1.04,0.0
2013-07-31,58.61,$-0.40,0.0
2013-04-30,49.94,$0.44,112.6
2013-01-31,53.98,$0.81,66.42
2012-10-31,53.14,$1.57,33.85
2012-07-31,54.3,$0.71,76.0
2012-04-30,49.29,$0.25,193.75
2012-01-31,44.05,$0.11,388.11
2011-10-31,36.51,$-0.98,0.0
2011-07-31,41.75,$0.19,217.9
2011-04-30,42.69,$-0.97,0.0
2011-01-31,37.0,$-1.34,0.0
2010-10-31,35.76,$-0.82,0.0
2010-07-31,33.73,$0.26,130.74
2010-04-30,30.71,$1.47,20.96
2010-01-31,27.11,$2.02,13.43
2009-10-31,24.11,$3.62,6.67
2009-07-31,27.03,$1.77,15.28
