Costco Price to Free Cash Flow Ratio Historical Data,Costco Price to Free Cash Flow Ratio Historical Data,Costco Price to Free Cash Flow Ratio Historical Data,Costco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,892.38,,53.51
2024-05-31,808.74,$16.68,48.5
2024-02-29,741.64,$13.95,53.17
2023-11-30,577.11,$19.81,29.14
2023-08-31,533.82,$15.18,35.18
2023-05-31,496.21,$13.10,37.87
2023-02-28,468.68,$12.32,38.05
2022-11-30,521.09,$6.41,81.29
2022-08-31,503.6,$7.87,63.98
2022-05-31,448.95,$9.22,48.71
2022-02-28,499.21,$13.57,36.79
2021-11-30,517.78,$13.09,39.55
2021-08-31,436.55,$12.09,36.12
2021-05-31,361.87,$15.57,23.24
2021-02-28,315.98,$13.08,24.16
2020-11-30,363.87,$10.00,36.4
2020-08-31,322.28,$8.95,36.03
2020-05-31,285.34,$4.55,62.77
2020-02-29,259.46,$0.02,10633.52
2019-08-31,270.87,$7.58,35.73
2019-05-31,219.68,$7.91,27.78
2019-02-28,200.04,$7.80,25.65
2018-11-30,210.93,$13.06,16.15
2018-08-31,212.11,$8.88,23.88
2019-11-30,276.11,$8.35,33.07
2018-05-31,179.92,$7.62,23.62
2018-02-28,172.75,$6.59,26.22
2017-11-30,166.47,$7.44,22.36
2017-08-31,141.06,$9.58,14.73
2017-05-31,161.87,$4.88,33.2
2017-02-28,152.32,$5.63,27.04
2016-11-30,128.7,$6.07,21.22
2016-08-31,138.55,$1.46,95.08
2016-05-31,126.82,$4.27,29.68
2016-02-29,127.52,$2.93,43.59
2015-11-30,136.83,$3.20,42.82
2015-08-31,118.41,$4.27,27.71
2015-05-31,120.23,$6.84,17.58
2015-02-28,123.58,$5.62,21.99
2014-11-30,115.35,$5.80,19.9
2014-08-31,98.02,$4.18,23.44
2014-02-28,93.98,$3.18,29.6
2013-11-30,100.65,$2.50,40.28
2013-08-31,89.55,$3.07,29.13
2013-05-31,87.53,$3.73,23.46
2013-02-28,80.65,$3.52,22.91
2012-11-30,77.04,$4.24,18.15
2012-08-31,72.34,$3.59,20.16
2012-05-31,63.68,$3.68,17.31
2012-02-29,63.22,$2.43,25.97
2011-11-30,62.49,$2.99,20.91
2011-08-31,57.37,$3.35,17.12
2014-05-31,93.64,$3.88,24.16
2011-05-31,60.06,$3.73,16.09
2011-02-28,54.3,$4.02,13.5
2010-11-30,48.96,$3.84,12.74
2010-08-31,40.78,$3.88,10.52
2010-05-31,41.89,$3.86,10.87
2010-02-28,43.7,$3.43,12.75
2009-11-30,42.81,$2.91,14.69
