Provident Financial Services Price to Free Cash Flow Ratio Historical Data,Provident Financial Services Price to Free Cash Flow Ratio Historical Data,Provident Financial Services Price to Free Cash Flow Ratio Historical Data,Provident Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.91,,8.87
2024-06-30,14.16,$2.25,6.31
2024-03-31,14.15,$1.99,7.11
2023-12-31,17.24,$2.22,7.78
2023-09-30,14.38,$2.16,6.67
2023-06-30,15.16,$2.37,6.4
2023-03-31,17.52,$2.77,6.33
2022-12-31,19.32,$2.55,7.57
2022-09-30,17.44,$2.40,7.28
2022-06-30,19.72,$2.08,9.5
2022-03-31,20.5,$1.97,10.4
2021-12-31,21.01,$1.87,11.24
2021-09-30,20.17,$2.27,8.88
2021-06-30,19.47,$1.44,13.56
2021-03-31,18.78,$-0.28,0.0
2020-12-31,14.96,$-0.32,0.0
2020-09-30,10.0,$-0.56,0.0
2020-06-30,11.66,$0.48,24.24
2019-12-31,19.3,$2.04,9.46
2019-09-30,19.03,$3.48,5.47
2019-06-30,18.81,$3.43,5.49
2019-03-31,19.9,$3.72,5.35
2018-12-31,18.26,$3.86,4.73
2020-03-31,10.17,$2.51,4.05
2018-09-30,18.42,$2.72,6.77
2018-06-30,20.48,$2.59,7.91
2018-03-31,18.9,$2.21,8.57
2017-12-31,19.77,$2.09,9.47
2017-09-30,19.29,$2.03,9.52
2017-06-30,18.21,$1.66,10.94
2017-03-31,18.41,$1.88,9.81
2016-12-31,20.01,$1.92,10.44
2016-09-30,14.9,$1.70,8.75
2016-06-30,13.66,$1.81,7.55
2016-03-31,13.92,$1.83,7.59
2015-12-31,13.76,$1.73,7.97
2015-09-30,13.21,$1.68,7.87
2015-06-30,12.76,$1.55,8.23
2015-03-31,12.42,$1.44,8.64
2014-12-31,11.92,$1.44,8.29
2014-09-30,10.72,$1.66,6.46
2014-06-30,11.24,$1.88,5.97
2014-03-31,11.82,$1.95,6.05
2013-12-31,12.32,$1.96,6.29
2013-09-30,10.25,$1.76,5.82
2013-06-30,9.9,$1.62,6.13
2013-03-31,9.49,$1.53,6.22
2012-12-31,9.2,$1.77,5.19
2012-09-30,9.51,$1.96,4.86
2012-06-30,9.17,$1.98,4.62
2012-03-31,8.6,$1.81,4.75
2011-12-31,7.86,$1.71,4.59
2011-09-30,6.25,$1.22,5.14
2011-06-30,8.24,$1.32,6.26
2011-03-31,8.45,$1.60,5.28
2010-12-31,8.57,$1.52,5.65
2010-09-30,6.95,$1.01,6.89
2010-06-30,6.51,$0.68,9.51
2010-03-31,6.57,$0.25,25.86
2009-12-31,5.82,$0.28,20.6
