Bristow Group Price to Free Cash Flow Ratio Historical Data,Bristow Group Price to Free Cash Flow Ratio Historical Data,Bristow Group Price to Free Cash Flow Ratio Historical Data,Bristow Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.51,,0.0
2024-06-30,33.53,$-2.52,0.0
2024-03-31,27.2,$-1.79,0.0
2023-12-31,28.27,$-0.54,0.0
2023-09-30,28.17,$0.41,68.42
2023-06-30,28.73,$-0.38,0.0
2023-03-31,22.4,$0.03,826.57
2022-12-31,27.13,$0.00,0.0
2022-09-30,23.49,$1.51,15.57
2022-06-30,23.4,$3.00,7.79
2022-03-31,37.08,$3.80,9.75
2021-12-31,31.67,$3.88,8.15
2021-09-30,31.83,$3.70,8.61
2021-06-30,25.61,$5.47,4.68
2021-03-31,25.88,$3.98,6.49
2020-12-31,26.32,$3.98,6.61
2020-09-30,21.25,$-11.34,0.0
2020-06-30,13.93,$-15.04,0.0
2020-03-31,15.99,$-16.41,0.0
2019-12-31,30.51,$-16.23,0.0
2019-09-30,31.68,$-1.79,0.0
2019-06-30,25.02,$5.39,4.65
2019-03-31,34.62,$8.67,3.99
2018-12-31,26.22,$10.59,2.48
2018-09-30,37.05,$10.52,3.52
2018-06-30,38.85,$4.95,7.84
2018-03-31,28.05,$3.44,8.15
2017-12-31,32.25,$1.84,17.55
2017-09-30,33.57,$2.41,13.95
2017-06-30,28.38,$3.68,7.71
2017-03-31,39.78,$5.09,7.81
2016-12-31,50.91,$7.06,7.21
2016-09-30,24.15,$6.25,3.87
2016-06-30,28.2,$7.32,3.85
2016-03-31,28.14,$3.42,8.23
2015-12-31,33.45,$1.44,23.22
2015-09-30,44.91,$-2.57,0.0
2015-06-30,61.44,$-2.68,0.0
2015-03-31,62.52,$-2.11,0.0
2014-12-31,63.45,$-3.19,0.0
2014-09-30,65.25,$-5.43,0.0
2014-06-30,86.04,$-4.51,0.0
2014-03-31,87.93,$-0.17,0.0
2013-12-31,92.58,$2.86,32.33
