Travere Therapeutics Price to Free Cash Flow Ratio Historical Data,Travere Therapeutics Price to Free Cash Flow Ratio Historical Data,Travere Therapeutics Price to Free Cash Flow Ratio Historical Data,Travere Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.25,,0.0
2024-06-30,8.22,$-3.85,0.0
2024-03-31,7.71,$-4.12,0.0
2023-12-31,8.99,$-3.78,0.0
2023-09-30,8.94,$-3.62,0.0
2023-06-30,15.36,$-3.46,0.0
2023-03-31,22.49,$-3.25,0.0
2022-12-31,21.03,$-2.92,0.0
2022-09-30,24.64,$-2.51,0.0
2022-06-30,24.23,$-1.37,0.0
2022-03-31,25.77,$-0.66,0.0
2021-12-31,31.04,$-0.33,0.0
2021-09-30,24.25,$-0.30,0.0
2021-06-30,14.59,$-0.64,0.0
2021-03-31,24.97,$-0.92,0.0
2020-12-31,27.26,$-1.04,0.0
2020-09-30,18.46,$-0.75,0.0
2020-06-30,20.41,$-1.24,0.0
2020-03-31,14.59,$-1.56,0.0
2019-12-31,14.2,$-1.38,0.0
2019-09-30,11.59,$-1.35,0.0
2019-06-30,20.09,$-1.13,0.0
2019-03-31,22.63,$-0.76,0.0
2018-12-31,22.63,$-0.64,0.0
2018-09-30,28.73,$-0.55,0.0
2018-06-30,27.26,$-0.31,0.0
2018-03-31,22.36,$-0.10,0.0
2017-12-31,21.07,$0.17,125.34
2017-09-30,24.89,$-0.09,0.0
2017-06-30,19.39,$-0.11,0.0
2017-03-31,18.46,$-0.14,0.0
2016-12-31,18.93,$-0.13,0.0
2016-09-30,22.38,$0.53,42.59
2016-06-30,17.81,$3.79,4.7
2016-03-31,13.66,$3.93,3.48
2015-12-31,19.29,$3.91,4.93
2015-09-30,20.26,$2.99,6.78
2015-06-30,33.15,$-0.93,0.0
2015-03-31,23.96,$-1.54,0.0
2014-12-31,12.24,$-1.86,0.0
2014-09-30,9.02,$-1.95,0.0
2014-06-30,11.74,$-1.49,0.0
2014-03-31,21.2,$-1.25,0.0
2013-12-31,7.0,$-1.25,0.0
2013-09-30,6.5,$-1.37,0.0
2013-06-30,5.55,$-1.31,0.0
