EPlus Inc Price to Free Cash Flow Ratio Historical Data,EPlus Inc Price to Free Cash Flow Ratio Historical Data,EPlus Inc Price to Free Cash Flow Ratio Historical Data,EPlus Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,99.42,,7.38
2024-06-30,73.68,$13.48,5.47
2024-03-31,78.54,$9.01,8.72
2023-12-31,79.84,$9.92,8.05
2023-09-30,63.52,$3.87,16.41
2023-06-30,56.3,$2.22,25.42
2023-03-31,49.04,$-0.79,0.0
2022-12-31,44.28,$-1.22,0.0
2022-09-30,41.54,$0.25,163.61
2022-06-30,53.12,$-2.08,0.0
2022-03-31,56.06,$-0.81,0.0
2021-12-31,53.88,$-0.76,0.0
2021-09-30,51.31,$-1.24,0.0
2021-06-30,43.35,$1.69,25.63
2021-03-31,49.82,$4.50,11.07
2020-12-31,43.98,$0.11,397.24
2020-09-30,36.6,$-0.56,0.0
2020-06-30,35.34,$0.49,72.33
2020-03-31,31.31,$-2.96,0.0
2019-12-31,42.15,$-1.58,0.0
2019-09-30,38.05,$-0.30,0.0
2019-06-30,34.47,$-0.43,0.0
2019-03-31,44.27,$0.77,57.16
2018-12-31,35.59,$0.65,54.5
2018-09-30,46.35,$1.36,34.14
2018-06-30,47.05,$1.15,40.86
2018-03-31,38.85,$2.98,13.04
2017-12-31,37.6,$1.60,23.56
2017-09-30,46.23,$2.97,15.55
2017-06-30,37.05,$1.10,33.64
2017-03-31,33.76,$0.75,45.25
2016-12-31,28.8,$2.03,14.19
2016-09-30,23.6,$-0.41,0.0
2016-06-30,20.45,$-1.16,0.0
2016-03-31,20.13,$0.44,45.28
2015-12-31,23.32,$-0.79,0.0
2015-09-30,19.77,$-1.06,0.0
2015-03-31,21.73,$0.37,58.12
2014-12-31,18.92,$-1.47,0.0
2014-09-30,14.01,$-1.19,0.0
2014-06-30,14.55,$-2.08,0.0
2014-03-31,13.94,$-1.54,0.0
2015-06-30,19.16,$-1.00,0.0
2013-12-31,14.21,$-0.46,0.0
2013-09-30,12.92,$1.08,11.93
2013-06-30,14.97,$0.97,15.39
2013-03-31,11.55,$0.87,13.23
2012-12-31,10.34,$0.19,54.42
2012-09-30,9.23,$-0.58,0.0
2012-06-30,7.61,$-1.29,0.0
2012-03-31,7.52,$-0.84,0.0
2011-12-31,6.65,$-0.26,0.0
2011-09-30,5.8,$-0.43,0.0
2011-06-30,6.22,$-0.25,0.0
2011-03-31,6.26,$-0.56,0.0
2010-12-31,5.56,$-1.06,0.0
2010-09-30,5.05,$-1.36,0.0
2010-06-30,4.12,$-0.98,0.0
2010-03-31,4.13,$-1.26,0.0
2009-12-31,3.88,$-0.83,0.0
