Heico Price to Free Cash Flow Ratio Historical Data,Heico Price to Free Cash Flow Ratio Historical Data,Heico Price to Free Cash Flow Ratio Historical Data,Heico Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,264.96,,128.0
2024-07-31,241.34,$2.07,116.59
2024-04-30,207.3,$1.14,181.55
2023-10-31,158.24,$2.87,55.05
2023-07-31,175.79,$4.37,40.18
2023-04-30,168.36,$4.11,40.93
2023-01-31,170.67,$4.66,36.66
2022-10-31,162.27,$4.83,33.6
2024-01-31,179.5,$2.88,62.42
2022-07-31,157.35,$2.93,53.73
2022-04-30,140.81,$2.74,51.32
2022-01-31,135.98,$2.80,48.65
2021-10-31,138.89,$2.96,46.94
2021-07-31,134.76,$2.96,45.45
2021-04-30,140.2,$2.77,50.66
2021-01-31,117.24,$2.94,39.91
2020-10-31,104.54,$2.81,37.17
2020-07-31,95.66,$2.91,32.92
2020-04-30,87.11,$3.18,27.42
2020-01-31,121.74,$3.20,38.1
2019-10-31,122.56,$2.97,41.22
2019-07-31,135.89,$2.91,46.73
2019-04-30,104.81,$2.76,37.94
2019-01-31,83.92,$2.09,40.15
2018-10-31,83.18,$2.10,39.67
2018-07-31,75.78,$2.07,36.56
2018-04-30,69.68,$1.85,37.58
2018-01-31,63.71,$0.54,117.85
2017-10-31,57.54,$0.81,70.62
2017-07-31,51.0,$0.51,99.22
2017-04-30,45.05,$0.32,138.91
2016-10-31,34.22,$1.72,19.91
2016-07-31,35.21,$1.92,18.34
2016-04-30,31.02,$1.82,17.01
2016-01-31,28.18,$1.86,15.17
2015-10-31,25.48,$1.79,14.25
2017-01-31,39.02,$1.18,33.13
2015-07-31,27.7,$1.26,21.96
2015-04-30,28.17,$1.38,20.41
2015-01-31,30.62,$1.29,23.75
2014-10-31,27.33,$1.32,20.66
2014-07-31,24.77,$1.14,21.77
2014-04-30,27.85,$0.96,29.06
2014-01-31,26.79,$1.02,26.14
2013-10-31,26.81,$0.87,30.9
2013-07-31,22.74,$1.04,21.8
2013-04-30,17.59,$0.93,18.88
2013-01-31,18.13,$1.06,17.08
2012-10-31,14.27,$0.95,15.06
2012-07-31,13.18,$0.79,16.66
2012-04-30,14.87,$0.82,18.21
2012-01-31,16.41,$0.68,24.16
2011-10-31,16.81,$0.89,18.78
2011-07-31,15.4,$0.86,17.98
2011-04-30,14.18,$0.81,17.55
2011-01-31,12.32,$0.75,16.44
2010-10-31,11.71,$0.72,16.25
2010-07-31,9.3,$0.70,13.23
2010-04-30,10.12,$0.62,16.29
2010-01-31,7.99,$0.63,12.69
2009-10-31,7.14,$0.51,14.03
