Watsco Price to Free Cash Flow Ratio Historical Data,Watsco Price to Free Cash Flow Ratio Historical Data,Watsco Price to Free Cash Flow Ratio Historical Data,Watsco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,504.72,,23.74
2024-06-30,458.34,$21.26,21.56
2024-03-31,424.66,$18.61,22.82
2023-12-31,418.67,$14.45,28.98
2023-09-30,366.73,$12.27,29.89
2023-06-30,367.9,$10.71,34.36
2023-03-31,304.45,$16.66,18.27
2022-12-31,236.55,$15.08,15.68
2022-09-30,241.99,$9.99,24.23
2022-06-30,222.51,$8.71,25.54
2022-03-31,281.73,$7.30,38.6
2021-12-31,287.49,$9.19,31.29
2021-09-30,241.48,$13.04,18.52
2021-06-30,259.81,$9.52,27.3
2021-03-31,234.69,$12.45,18.85
2020-12-31,202.36,$14.74,13.73
2020-09-30,206.49,$14.15,14.59
2020-06-30,156.11,$14.71,10.61
2020-03-31,137.25,$8.88,15.46
2019-12-31,155.05,$9.21,16.84
2019-09-30,144.25,$8.12,17.77
2019-06-30,138.06,$7.01,19.71
2019-03-31,119.58,$7.20,16.61
2018-12-31,114.89,$4.47,25.71
2018-09-30,145.77,$5.09,28.64
2018-06-30,144.75,$7.22,20.06
2018-03-31,145.78,$6.55,22.25
2017-12-31,136.0,$8.79,15.48
2017-09-30,127.83,$8.46,15.1
2017-06-30,121.37,$6.95,17.47
2017-03-31,111.87,$7.04,15.88
2016-12-31,114.91,$7.32,15.69
2016-09-30,108.49,$7.92,13.69
2016-06-30,107.67,$10.00,10.77
2016-03-31,102.47,$7.97,12.86
2015-12-31,88.39,$6.15,14.36
2015-09-30,88.92,$5.33,16.67
2015-06-30,92.35,$3.36,27.47
2015-03-31,93.29,$2.56,36.46
2014-12-31,78.89,$3.89,20.28
2014-09-30,63.1,$3.98,15.87
2014-06-30,74.78,$4.63,16.17
2014-03-31,72.41,$5.57,13.0
2013-12-31,69.33,$4.22,16.44
2013-09-30,67.75,$4.61,14.68
2013-06-30,60.17,$4.58,13.14
2013-03-31,60.15,$4.27,14.08
2012-12-31,53.34,$5.09,10.48
2012-09-30,50.33,$5.49,9.17
2012-06-30,48.61,$1.03,47.34
2012-03-31,48.35,$3.27,14.79
2011-12-31,42.5,$1.57,27.08
2011-09-30,32.76,$-0.45,0.0
2011-06-30,43.21,$1.44,29.94
2011-03-31,43.95,$3.45,12.72
2010-12-31,39.44,$4.79,8.23
2010-09-30,34.5,$4.81,7.17
2010-06-30,35.58,$3.74,9.52
2010-03-31,34.63,$2.26,15.35
2009-12-31,29.54,$2.90,10.2
