Science Applications Price to Free Cash Flow Ratio Historical Data,Science Applications Price to Free Cash Flow Ratio Historical Data,Science Applications Price to Free Cash Flow Ratio Historical Data,Science Applications Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,147.64,,20.77
2024-07-31,124.08,$7.11,17.45
2024-04-30,127.97,$0.77,165.7
2024-01-31,126.56,$6.87,18.42
2023-10-31,107.99,$8.44,12.79
2023-07-31,119.56,$8.80,13.58
2023-04-30,100.21,$14.95,6.7
2023-01-31,101.58,$9.09,11.18
2022-10-31,105.67,$3.87,27.33
2022-07-31,94.11,$3.81,24.73
2022-04-30,80.53,$2.85,28.21
2022-01-31,79.04,$3.91,20.23
2021-10-31,86.14,$7.35,11.71
2021-07-31,83.41,$8.95,9.32
2021-04-30,85.08,$9.01,9.45
2021-01-31,90.99,$12.08,7.53
2020-10-31,72.09,$12.39,5.82
2020-07-31,75.14,$10.67,7.04
2020-04-30,76.33,$10.71,7.13
2020-01-31,81.63,$7.41,11.02
2019-10-31,76.54,$6.78,11.3
2019-07-31,78.74,$6.58,11.97
2019-04-30,68.83,$4.46,15.42
2019-01-31,61.36,$3.54,17.34
2018-10-31,63.22,$4.91,12.88
2018-07-31,76.4,$4.70,16.27
2018-04-30,77.4,$4.43,17.49
2018-01-31,68.9,$4.38,15.72
2017-10-31,65.66,$3.95,16.63
2017-07-31,62.76,$5.56,11.28
2017-04-30,64.78,$6.80,9.53
2017-01-31,71.96,$5.62,12.8
2016-10-31,60.68,$6.43,9.44
2016-07-31,53.26,$4.51,11.81
2016-04-30,46.3,$4.42,10.46
2016-01-31,36.95,$4.35,8.5
2015-10-31,39.48,$4.07,9.7
2015-07-31,45.87,$4.36,10.52
2015-04-30,42.56,$5.30,8.03
2015-01-31,41.22,$5.26,7.84
2014-10-31,41.1,$5.84,7.04
2014-07-31,34.88,$5.18,6.73
