Worthington Enterprises Price to Free Cash Flow Ratio Historical Data,Worthington Enterprises Price to Free Cash Flow Ratio Historical Data,Worthington Enterprises Price to Free Cash Flow Ratio Historical Data,Worthington Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.66,,9.54
2024-08-31,45.63,$4.37,10.45
2024-05-31,56.64,$4.12,13.76
2024-02-29,61.53,$7.74,7.95
2023-11-30,71.02,$10.17,6.98
2023-08-31,73.87,$10.80,6.84
2023-05-31,54.81,$11.64,4.71
2023-02-28,58.69,$10.22,5.75
2022-11-30,54.78,$8.05,6.81
2022-08-31,48.92,$2.68,18.28
2022-05-31,44.45,$0.30,146.75
2022-02-28,54.08,$-1.72,0.0
2021-11-30,45.26,$-2.93,0.0
2021-08-31,54.38,$1.95,27.86
2021-05-31,62.0,$4.42,14.04
2021-02-28,59.48,$4.59,12.97
2020-11-30,47.92,$5.95,8.06
2020-08-31,38.23,$5.10,7.5
2020-05-31,27.34,$4.49,6.09
2020-02-29,28.75,$4.25,6.77
2019-11-30,34.43,$4.12,8.35
2019-08-31,31.0,$3.19,9.73
2019-05-31,30.31,$2.77,10.94
2019-02-28,34.68,$2.94,11.78
2018-11-30,36.32,$3.29,11.06
2018-08-31,40.63,$3.09,13.14
2018-05-31,41.65,$3.59,11.59
2018-02-28,38.25,$3.70,10.33
2017-11-30,35.78,$3.54,10.1
2017-08-31,42.8,$3.59,11.91
2017-05-31,35.79,$4.20,8.51
2017-02-28,41.67,$4.57,9.13
2016-11-30,47.64,$4.78,9.97
2016-08-31,36.13,$5.15,7.02
2016-05-31,31.31,$5.04,6.22
2016-02-29,25.93,$4.48,5.79
2015-11-30,25.47,$3.93,6.48
2015-08-31,21.02,$3.00,7.0
2015-05-31,22.2,$1.93,11.51
2015-02-28,21.88,$0.95,23.11
2014-11-30,30.41,$1.10,27.72
2014-08-31,32.46,$1.80,18.08
2014-05-31,32.23,$2.58,12.48
2014-02-28,31.76,$3.67,8.66
2013-11-30,33.29,$2.93,11.34
2013-08-31,26.34,$3.80,6.94
2013-05-31,27.17,$3.44,7.9
2013-02-28,22.4,$3.06,7.31
2012-11-30,18.33,$3.95,4.64
2012-08-31,16.17,$3.65,4.43
2012-05-31,12.48,$2.55,4.9
2012-02-29,12.87,$2.27,5.66
2011-11-30,13.32,$1.86,7.17
2011-08-31,12.2,$1.65,7.37
2011-05-31,16.31,$0.93,17.45
2011-02-28,14.38,$0.41,34.8
2010-11-30,11.83,$-0.64,0.0
2010-08-31,10.44,$-0.90,0.0
2010-05-31,10.73,$1.16,9.22
2010-02-28,11.48,$1.84,6.25
2009-11-30,8.42,$4.11,2.05
