Matson Price to Free Cash Flow Ratio Historical Data,Matson Price to Free Cash Flow Ratio Historical Data,Matson Price to Free Cash Flow Ratio Historical Data,Matson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,136.52,,12.98
2024-06-30,130.62,$10.51,12.42
2024-03-31,111.78,$5.22,21.42
2023-12-31,108.7,$7.38,14.74
2023-09-30,87.68,$7.74,11.33
2023-06-30,76.56,$15.17,5.05
2023-03-31,58.5,$23.23,2.52
2022-12-31,61.0,$27.07,2.25
2022-09-30,59.76,$32.82,1.82
2022-06-30,70.52,$27.38,2.58
2022-03-31,116.32,$18.86,6.17
2021-12-31,86.53,$15.29,5.66
2021-09-30,77.32,$9.59,8.07
2021-06-30,61.05,$6.55,9.32
2021-03-31,63.41,$6.66,9.51
2020-12-31,53.97,$5.81,9.29
2020-09-30,37.83,$2.41,15.72
2020-06-30,27.29,$0.14,200.1
2020-03-31,28.49,$-0.24,0.0
2019-12-31,37.73,$-1.34,0.0
2019-09-30,34.5,$1.98,17.44
2019-06-30,35.54,$3.34,10.65
2019-03-31,33.02,$1.87,17.68
2018-12-31,29.11,$0.93,31.21
2018-09-30,35.85,$-1.08,0.0
2018-06-30,34.51,$-2.89,0.0
2018-03-31,25.59,$-2.37,0.0
2017-12-31,26.52,$-1.91,0.0
2017-09-30,24.87,$-1.64,0.0
2017-06-30,26.33,$-1.24,0.0
2017-03-31,27.67,$-0.67,0.0
2016-12-31,30.67,$-0.44,0.0
2016-09-30,34.37,$0.74,46.55
2016-06-30,27.69,$2.40,11.54
2016-03-31,34.26,$2.94,11.66
2015-12-31,36.19,$4.16,8.7
2015-09-30,32.55,$4.61,7.06
2015-06-30,35.39,$4.69,7.55
2015-03-31,35.35,$3.68,9.6
2014-12-31,28.81,$3.29,8.76
2014-09-30,20.76,$2.72,7.65
2014-06-30,22.12,$2.84,7.79
2014-03-31,20.22,$3.73,5.42
2013-12-31,21.24,$3.83,5.55
2013-09-30,21.22,$3.39,6.26
2013-06-30,20.11,$2.89,6.96
2013-03-31,19.67,$0.75,26.24
2012-12-31,19.65,$0.67,29.22
2012-09-30,16.51,$0.92,17.98
2012-06-30,20.04,$0.75,26.82
2011-12-31,15.27,$1.41,10.83
2011-09-30,13.62,$3.04,4.47
2011-06-30,17.89,$2.15,8.3
2011-03-31,16.91,$2.80,6.03
2010-12-31,14.77,$3.94,3.75
2012-03-31,18.18,$1.61,11.27
2010-09-30,12.8,$2.52,5.08
2010-06-30,10.89,$2.04,5.35
2010-03-31,12.04,$2.24,5.38
2009-12-31,12.41,$2.82,4.4
