Werner Enterprises Price to Free Cash Flow Ratio Historical Data,Werner Enterprises Price to Free Cash Flow Ratio Historical Data,Werner Enterprises Price to Free Cash Flow Ratio Historical Data,Werner Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.44,,20.11
2024-06-30,35.55,$1.86,19.1
2024-03-31,38.67,$1.12,34.66
2023-12-31,41.88,$1.03,40.64
2023-09-30,38.37,$0.51,74.8
2023-06-30,43.37,$0.70,61.86
2023-03-31,44.39,$1.25,35.58
2022-12-31,39.29,$2.03,19.35
2022-09-30,36.58,$1.96,18.69
2022-06-30,37.24,$2.55,14.58
2022-03-31,39.49,$2.41,16.37
2021-12-31,45.9,$2.06,22.28
2021-09-30,42.41,$1.63,25.98
2021-06-30,42.54,$1.27,33.55
2021-03-31,44.97,$1.99,22.65
2020-12-31,37.39,$1.72,21.76
2020-09-30,39.86,$1.46,27.27
2020-06-30,41.24,$1.80,22.87
2019-12-31,34.31,$2.04,16.83
2019-09-30,33.19,$0.18,180.0
2019-06-30,29.22,$1.79,16.33
2019-03-31,28.34,$1.82,15.53
2018-12-31,24.52,$0.53,45.9
2020-03-31,34.27,$1.83,18.73
2018-09-30,29.34,$-0.06,0.0
2018-06-30,31.08,$-0.29,0.0
2018-03-31,30.08,$0.78,38.41
2017-12-31,31.86,$1.16,27.52
2017-09-30,30.07,$1.03,29.14
2017-06-30,24.1,$1.13,21.29
2017-03-31,21.41,$-0.53,0.0
2016-12-31,22.03,$-1.66,0.0
2016-09-30,18.98,$-1.46,0.0
2016-06-30,18.64,$-1.45,0.0
2016-03-31,21.99,$-0.38,0.0
2015-12-31,18.93,$0.26,72.66
2015-09-30,20.22,$0.10,194.04
2015-06-30,21.11,$0.01,1954.2
2015-03-31,25.21,$-0.17,0.0
2014-12-31,25.0,$-0.08,0.0
2014-09-30,20.15,$0.47,43.05
2014-06-30,21.16,$0.44,47.97
2014-03-31,20.32,$0.94,21.68
2013-12-31,19.66,$1.10,17.93
2013-09-30,18.51,$1.04,17.77
2013-06-30,19.18,$1.22,15.73
2013-03-31,19.07,$1.14,16.72
2012-12-31,17.08,$0.41,41.59
2012-09-30,15.76,$0.05,290.76
2012-06-30,17.59,$0.52,33.86
2012-03-31,18.22,$-0.00,0.0
2011-12-31,17.63,$0.44,39.98
2011-09-30,14.9,$1.15,12.94
2011-06-30,17.88,$0.84,21.22
2011-03-31,18.82,$1.22,15.44
2010-12-31,16.03,$1.50,10.67
2010-09-30,13.47,$1.03,13.06
2010-06-30,14.33,$1.12,12.84
2010-03-31,15.13,$1.61,9.38
2009-12-31,12.9,$1.33,9.73
