MPLX LP Price to Free Cash Flow Ratio Historical Data,MPLX LP Price to Free Cash Flow Ratio Historical Data,MPLX LP Price to Free Cash Flow Ratio Historical Data,MPLX LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.32,,9.7
2024-06-30,41.72,$4.57,9.13
2024-03-31,39.89,$4.45,8.97
2023-12-31,34.46,$4.48,7.7
2023-09-30,32.6,$4.37,7.47
2023-06-30,30.43,$4.15,7.34
2023-03-31,30.2,$4.37,6.92
2022-12-31,28.14,$4.25,6.62
2022-09-30,25.14,$4.25,5.91
2022-06-30,23.87,$4.48,5.32
2022-03-31,26.59,$4.30,6.18
2021-12-31,23.22,$4.39,5.29
2021-09-30,21.45,$4.22,5.08
2021-06-30,21.77,$4.12,5.28
2021-03-31,18.39,$3.63,5.07
2020-12-31,15.1,$3.23,4.67
2020-09-30,10.57,$2.86,3.7
2020-06-30,11.19,$2.21,5.07
2020-03-31,7.23,$2.15,3.36
2019-12-31,15.38,$1.88,8.18
2019-09-30,16.49,$1.77,9.31
2019-06-30,18.52,$1.77,10.48
2019-03-31,18.92,$1.64,11.57
2018-12-31,17.12,$1.27,13.46
2018-09-30,19.22,$1.26,15.28
2018-06-30,18.6,$1.33,13.99
2018-03-31,17.69,$1.03,17.17
2017-12-31,18.68,$1.30,14.41
2017-09-30,18.13,$1.29,14.02
2017-06-30,17.02,$0.85,20.1
2017-03-31,18.1,$0.73,24.64
2016-12-31,17.13,$0.53,32.34
2016-09-30,16.49,$-0.57,0.0
2016-06-30,16.13,$-0.15,0.0
2016-03-31,14.02,$0.54,25.81
2015-12-31,18.26,$0.95,19.24
2015-09-30,17.52,$2.29,7.66
2015-06-30,32.48,$2.34,13.87
2015-03-31,33.16,$2.17,15.3
2014-12-31,33.1,$2.61,12.69
2014-09-30,26.41,$2.19,12.07
2014-06-30,28.73,$2.06,13.96
2014-03-31,21.69,$1.81,11.95
2013-12-31,19.59,$1.42,13.8
2013-09-30,15.9,$1.16,13.66
