JetBlue Airways Price to Free Cash Flow Ratio Historical Data,JetBlue Airways Price to Free Cash Flow Ratio Historical Data,JetBlue Airways Price to Free Cash Flow Ratio Historical Data,JetBlue Airways Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.41,,0.0
2024-06-30,6.09,$-5.12,0.0
2024-03-31,7.42,$-3.85,0.0
2023-12-31,5.55,$-2.42,0.0
2023-09-30,4.6,$-1.69,0.0
2023-06-30,8.86,$-0.94,0.0
2023-03-31,7.28,$-1.32,0.0
2022-12-31,6.48,$-1.68,0.0
2022-09-30,6.63,$-1.78,0.0
2022-06-30,8.37,$-1.57,0.0
2022-03-31,14.95,$2.51,5.95
2021-12-31,14.24,$2.03,7.0
2021-09-30,15.29,$0.66,23.24
2021-06-30,16.78,$-1.06,0.0
2021-03-31,20.34,$-4.56,0.0
2020-12-31,14.54,$-5.31,0.0
2020-09-30,11.33,$-3.79,0.0
2020-06-30,10.9,$-1.44,0.0
2020-03-31,8.95,$-0.73,0.0
2019-12-31,18.72,$0.98,19.07
2019-09-30,16.75,$1.19,14.12
2019-06-30,18.49,$0.92,20.09
2019-03-31,16.36,$0.57,28.61
2018-12-31,16.06,$-0.55,0.0
2018-09-30,19.36,$-0.02,0.0
2018-06-30,18.98,$0.57,33.39
2017-12-31,22.34,$0.54,41.7
2017-09-30,18.53,$1.75,10.58
2017-06-30,22.83,$2.68,8.51
2017-03-31,20.61,$2.33,8.84
2016-12-31,22.42,$2.68,8.35
2018-03-31,20.32,$2.99,6.81
2016-09-30,17.24,$1.84,9.37
2016-06-30,16.56,$2.53,6.55
2016-03-31,21.12,$2.09,10.1
2015-12-31,22.65,$1.91,11.89
2015-09-30,25.77,$1.95,13.23
2015-06-30,20.76,$1.08,19.14
2015-03-31,19.25,$0.76,25.46
2014-12-31,15.86,$0.16,99.0
2014-09-30,10.62,$0.09,117.48
2014-06-30,10.85,$0.43,25.08
2014-03-31,8.69,$0.40,21.65
2013-12-31,8.54,$0.35,24.24
2013-09-30,6.67,$-0.10,0.0
2013-06-30,6.29,$-0.41,0.0
2013-03-31,6.9,$-0.16,0.0
2012-12-31,5.72,$-0.24,0.0
2012-09-30,4.8,$0.33,14.74
2012-06-30,5.3,$0.29,18.05
2012-03-31,4.89,$-0.04,0.0
2011-12-31,5.2,$-0.46,0.0
2011-09-30,4.09,$-0.15,0.0
2011-06-30,6.1,$-0.14,0.0
2010-12-31,6.61,$0.61,10.91
2010-09-30,6.69,$0.42,16.09
2010-06-30,5.49,$0.66,8.29
2010-03-31,5.58,$1.00,5.56
2009-12-31,5.45,$0.22,24.34
2011-03-31,6.27,$0.35,18.13
