"America Movil, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data","America Movil, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data","America Movil, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data","America Movil, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.98,,7.29
2024-03-31,18.66,$2.33,8.01
2023-12-31,18.52,$3.05,6.08
2023-09-30,17.32,$1.75,9.9
2023-03-31,21.05,$2.49,8.47
2022-09-30,16.47,$2.49,6.63
2022-03-31,20.66,$1.77,11.68
2021-12-31,20.62,$1.77,11.65
2021-09-30,17.07,$2.60,6.56
2021-06-30,14.31,$2.60,5.5
2021-03-31,12.96,$2.60,4.98
2020-12-31,13.87,$2.60,5.33
2023-06-30,21.64,0,0.0
2020-09-30,11.75,$1.64,7.18
2020-06-30,11.94,$1.64,7.3
2020-03-31,10.94,$1.64,6.69
2019-12-31,14.86,$1.64,9.09
2019-09-30,13.65,$1.61,8.48
2019-06-30,13.2,$1.61,8.2
2019-03-31,12.95,$1.61,8.05
2018-12-31,12.92,$1.78,7.27
2018-06-30,14.8,$0.75,19.79
2018-03-31,16.96,$-0.41,0.0
2016-06-30,10.44,$0.37,28.51
2015-09-30,13.96,$0.61,22.99
2015-06-30,17.48,$0.03,637.81
2014-06-30,16.76,$1.73,9.69
2013-06-30,17.28,$2.12,8.14
2013-03-31,16.66,$1.71,9.72
2012-12-31,18.39,$1.71,10.73
2012-09-30,20.08,$2.53,7.94
2012-06-30,20.46,$0.01,0.0
2012-03-31,19.5,$1.35,14.4
2011-12-31,17.75,$1.35,13.11
2011-09-30,17.25,0,0.0
2011-06-30,20.92,$3.84,5.46
2018-09-30,14.41,$2.49,5.78
2011-03-31,22.56,$2.02,11.15
2010-12-31,22.27,$2.49,8.94
2010-09-30,20.61,$2.34,8.79
2010-06-30,18.26,$2.34,7.79
2010-03-31,19.36,$2.81,6.88
2009-12-31,18.06,$2.34,7.7
