UFP Technologies Price to Free Cash Flow Ratio Historical Data,UFP Technologies Price to Free Cash Flow Ratio Historical Data,UFP Technologies Price to Free Cash Flow Ratio Historical Data,UFP Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,309.39,,130.9
2024-06-30,263.87,$2.36,111.64
2023-12-31,172.04,$4.01,42.95
2023-09-30,161.45,$2.95,54.7
2023-06-30,193.85,$2.13,91.06
2023-03-31,129.84,$-0.82,0.0
2022-12-31,117.89,$-1.15,0.0
2024-03-31,252.2,$-2.12,0.0
2022-09-30,85.84,$-3.34,0.0
2022-06-30,79.57,$-0.81,0.0
2022-03-31,66.17,$0.21,317.06
2021-12-31,70.26,$1.18,59.37
2021-09-30,61.59,$2.16,28.46
2021-06-30,57.42,$2.48,23.18
2021-03-31,49.82,$2.50,19.94
2020-12-31,46.6,$2.75,16.98
2020-09-30,41.42,$2.81,14.75
2020-06-30,44.06,$3.25,13.55
2020-03-31,38.09,$3.58,10.63
2019-12-31,49.61,$3.39,14.65
2019-09-30,38.6,$3.33,11.6
2019-06-30,41.61,$2.82,14.77
2019-03-31,37.4,$2.92,12.82
2018-12-31,30.04,$2.15,13.98
2018-09-30,36.75,$1.36,27.08
2018-06-30,30.85,$1.10,27.93
2018-03-31,29.5,$0.13,222.64
2017-12-31,27.8,$0.97,28.75
2017-09-30,28.1,$1.06,26.62
2017-06-30,28.3,$1.15,24.69
2017-03-31,25.9,$1.21,21.4
2016-12-31,25.45,$0.29,87.58
2016-09-30,26.5,$0.14,183.01
2016-06-30,22.54,$-0.17,0.0
2016-03-31,22.27,$0.35,63.87
2015-12-31,23.82,$-0.44,0.0
2015-09-30,22.85,$-0.26,0.0
2015-06-30,20.92,$-0.64,0.0
2015-03-31,22.78,$-1.31,0.0
2014-12-31,24.59,$-0.31,0.0
2014-09-30,21.98,$-0.03,0.0
2014-06-30,24.09,$0.90,26.68
2014-03-31,24.36,$1.27,19.13
2013-12-31,25.22,$1.45,17.44
2013-09-30,22.77,$1.13,20.17
2013-06-30,19.58,$0.70,28.14
2013-03-31,19.69,$0.54,36.67
2012-12-31,17.92,$0.61,29.61
2012-09-30,17.59,$0.54,32.69
2012-06-30,16.9,$0.63,27.03
2012-03-31,19.45,$0.99,19.57
2011-12-31,14.77,$1.31,11.24
2011-09-30,14.41,$1.32,10.96
2011-06-30,18.92,$1.46,12.92
2011-03-31,17.21,$1.16,14.84
2010-12-31,12.19,$1.27,9.62
2010-09-30,11.69,$1.63,7.19
2010-06-30,9.18,$1.20,7.67
2010-03-31,10.34,$1.51,6.84
2009-12-31,6.5,$1.31,4.98
