Reliance Price to Free Cash Flow Ratio Historical Data,Reliance Price to Free Cash Flow Ratio Historical Data,Reliance Price to Free Cash Flow Ratio Historical Data,Reliance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,296.34,,16.45
2024-06-30,284.49,$18.02,15.79
2024-03-31,331.68,$16.14,20.55
2023-12-31,276.64,$20.56,13.45
2023-09-30,258.43,$25.01,10.34
2023-06-30,266.7,$28.14,9.48
2023-03-31,251.06,$28.30,8.87
2022-12-31,197.18,$29.07,6.78
2022-09-30,169.16,$22.91,7.38
2022-06-30,164.01,$15.21,10.79
2022-03-31,176.26,$-0.63,0.0
2021-12-31,155.23,$-3.28,0.0
2021-09-30,135.7,$-4.60,0.0
2021-06-30,143.16,$0.83,172.27
2020-12-31,112.63,$15.44,7.29
2020-09-30,95.47,$26.17,3.65
2020-06-30,88.29,$24.27,3.64
2020-03-31,80.95,$23.86,3.39
2019-12-31,109.88,$26.18,4.2
2021-03-31,143.89,$13.54,10.63
2019-09-30,91.0,$16.55,5.5
2019-06-30,86.39,$11.28,7.66
2019-03-31,81.88,$7.60,10.78
2018-12-31,64.16,$6.27,10.24
2018-09-30,76.42,$3.43,22.28
2018-06-30,77.99,$4.37,17.87
2018-03-31,75.98,$3.96,19.18
2017-12-31,75.6,$3.60,20.98
2017-09-30,66.72,$3.99,16.71
2017-06-30,63.38,$3.96,16.0
2017-03-31,69.23,$4.16,16.64
2016-12-31,68.44,$6.57,10.41
2016-09-30,61.64,$7.29,8.45
2016-06-30,65.44,$8.16,8.02
2016-03-31,58.56,$11.35,5.16
2015-12-31,48.71,$11.48,4.24
2015-09-30,45.13,$9.47,4.77
2015-06-30,50.2,$6.97,7.2
2015-03-31,50.39,$3.40,14.83
2014-12-31,50.18,$2.11,23.82
2014-09-30,55.73,$1.77,31.42
2014-06-30,59.75,$3.73,16.03
2014-03-31,57.0,$1.42,40.08
2013-12-31,60.88,$4.32,14.09
2013-09-30,58.55,$5.90,9.93
2013-06-30,52.15,$4.00,13.04
2012-12-31,48.52,$5.23,9.27
2012-09-30,40.72,$2.40,16.97
2012-06-30,39.09,$0.33,117.39
2012-03-31,43.59,$0.64,67.86
2011-12-31,37.47,$1.83,20.47
2013-03-31,56.36,$-0.56,0.0
2011-09-30,26.1,$0.50,52.27
2011-06-30,37.99,$0.49,76.76
2011-03-31,44.1,$0.64,69.0
2010-12-31,38.91,$1.42,27.37
2010-09-30,31.56,$1.43,22.14
2010-06-30,27.4,$2.13,12.86
2010-03-31,37.24,$6.74,5.52
2009-12-31,32.62,$11.86,2.75
