Vir Biotechnology Price to Free Cash Flow Ratio Historical Data,Vir Biotechnology Price to Free Cash Flow Ratio Historical Data,Vir Biotechnology Price to Free Cash Flow Ratio Historical Data,Vir Biotechnology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.72,,0.0
2024-06-30,8.9,$-3.39,0.0
2024-03-31,10.13,$-5.79,0.0
2023-12-31,10.06,$-5.97,0.0
2023-09-30,9.37,$-4.96,0.0
2023-06-30,24.53,$-3.26,0.0
2023-03-31,23.27,$6.87,3.39
2022-12-31,25.31,$11.83,2.14
2022-09-30,19.28,$11.61,1.66
2022-06-30,25.47,$10.25,2.48
2022-03-31,25.72,$4.16,6.19
2021-12-31,41.87,$-0.52,0.0
2021-09-30,43.52,$-1.24,0.0
2021-06-30,47.28,$-0.76,0.0
2021-03-31,51.27,$-1.90,0.0
2020-12-31,26.78,$-1.66,0.0
2020-09-30,34.33,$-5.46,0.0
