Otter Tail Price to Free Cash Flow Ratio Historical Data,Otter Tail Price to Free Cash Flow Ratio Historical Data,Otter Tail Price to Free Cash Flow Ratio Historical Data,Otter Tail Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,79.51,,23.76
2024-06-30,87.13,$3.35,26.04
2024-03-31,85.51,$3.94,21.72
2023-12-31,83.65,$2.94,28.45
2023-09-30,74.33,$3.51,21.17
2023-06-30,76.94,$3.59,21.4
2023-03-31,70.02,$3.90,17.97
2022-12-31,56.5,$5.31,10.65
2022-09-30,58.76,$4.64,12.68
2022-06-30,63.8,$4.31,14.8
2022-03-31,59.0,$2.83,20.85
2021-12-31,66.97,$1.65,40.52
2021-09-30,52.17,$-0.93,0.0
2021-06-30,45.17,$-2.84,0.0
2021-03-31,42.39,$-3.28,0.0
2020-12-31,38.76,$-3.78,0.0
2020-09-30,32.6,$-1.15,0.0
2020-06-30,34.64,$-1.85,0.0
2020-03-31,39.33,$-1.43,0.0
2019-12-31,45.07,$-0.35,0.0
2019-09-30,46.89,$-0.71,0.0
2019-06-30,45.76,$1.34,34.25
2019-03-31,42.87,$1.30,32.98
2018-12-31,42.41,$1.01,41.87
2018-09-30,40.64,$1.29,31.46
2018-06-30,40.11,$0.90,44.52
2018-03-31,36.25,$0.88,41.09
2017-12-31,36.86,$1.14,32.45
2017-09-30,35.71,$0.91,39.16
2017-06-30,32.37,$0.92,35.07
2017-03-31,30.71,$0.01,2843.72
2016-12-31,32.79,$0.18,182.36
2016-09-30,27.55,$-0.10,0.0
2016-06-30,26.44,$-0.36,0.0
2016-03-31,23.14,$0.07,346.41
2015-12-31,20.56,$-1.03,0.0
2015-09-30,19.89,$-0.39,0.0
2015-06-30,20.08,$-0.34,0.0
2015-03-31,24.01,$-0.94,0.0
2014-12-31,22.88,$-1.32,0.0
2014-09-30,19.52,$-1.94,0.0
2014-06-30,21.93,$-2.22,0.0
2014-03-31,22.06,$-1.39,0.0
2013-12-31,20.76,$-0.27,0.0
2013-09-30,19.38,$1.39,13.94
2013-06-30,19.74,$3.77,5.23
2013-03-31,21.42,$3.69,5.8
2012-12-31,17.02,$3.37,5.05
2012-09-30,16.04,$2.08,7.72
2012-06-30,15.14,$0.54,27.95
2012-03-31,14.2,$0.72,19.79
2011-12-31,14.22,$1.08,13.18
2011-09-30,11.65,$1.86,6.26
2011-06-30,13.23,$1.02,12.94
2011-03-31,14.07,$2.06,6.84
2010-12-31,13.77,$1.32,10.43
2010-09-30,12.28,$-0.02,0.0
2010-06-30,11.47,$-0.90,0.0
2010-03-31,12.85,$-1.21,0.0
2009-12-31,14.31,$-0.22,0.0
