S&P Global Price to Free Cash Flow Ratio Historical Data,S&P Global Price to Free Cash Flow Ratio Historical Data,S&P Global Price to Free Cash Flow Ratio Historical Data,S&P Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,513.24,,43.58
2024-06-30,445.2,$11.78,37.8
2024-03-31,424.69,$12.37,34.33
2023-12-31,438.81,$11.19,39.23
2023-09-30,363.2,$3.30,110.14
2023-06-30,397.54,$2.90,137.24
2023-03-31,341.03,$-0.57,0.0
2022-12-31,330.45,$7.89,41.87
2022-09-30,300.55,$18.76,16.02
2022-06-30,331.02,$20.05,16.51
2022-03-31,401.86,$21.84,18.4
2021-12-31,461.48,$14.74,31.32
2021-09-30,414.79,$15.46,26.83
2021-06-30,399.99,$14.70,27.21
2021-03-31,343.18,$14.78,23.22
2020-12-31,318.95,$14.42,22.12
2020-09-30,349.17,$13.76,25.37
2020-06-30,318.44,$13.49,23.6
2020-03-31,236.33,$12.43,19.02
2019-12-31,262.72,$10.78,24.38
2019-09-30,235.2,$9.40,25.02
2019-06-30,218.22,$8.27,26.37
2019-03-31,201.17,$1.49,134.72
2018-12-31,161.91,$3.33,48.6
2018-09-30,185.63,$2.80,66.26
2018-06-30,193.23,$2.06,93.68
2017-12-31,159.73,$7.31,21.85
2017-09-30,147.02,$8.54,17.22
2017-06-30,136.94,$7.83,17.5
2017-03-31,122.28,$8.93,13.69
2016-12-31,100.27,$9.93,10.09
