Brink's Price to Free Cash Flow Ratio Historical Data,Brink's Price to Free Cash Flow Ratio Historical Data,Brink's Price to Free Cash Flow Ratio Historical Data,Brink's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,112.66,,13.53
2024-06-30,102.18,$8.33,12.27
2024-03-31,91.95,$13.28,6.92
2023-12-31,87.3,$11.05,7.9
2023-09-30,71.88,$8.33,8.63
2023-06-30,66.92,$7.54,8.88
2023-03-31,65.68,$6.76,9.71
2022-12-31,52.65,$6.34,8.31
2022-09-30,47.32,$4.57,10.35
2022-06-30,59.1,$5.28,11.2
2022-03-31,65.96,$4.65,14.18
2021-12-31,63.42,$6.34,10.0
2021-09-30,61.05,$7.06,8.65
2021-06-30,73.91,$6.40,11.55
2021-03-31,76.02,$3.65,20.81
2020-12-31,68.94,$3.97,17.35
2020-09-30,39.23,$3.64,10.77
2020-06-30,43.27,$2.91,14.85
2020-03-31,49.3,$5.29,9.32
2019-12-31,85.72,$4.19,20.46
2019-09-30,78.28,$4.03,19.41
2019-06-30,76.49,$2.52,30.34
2019-03-31,70.92,$2.37,29.91
2018-12-31,60.68,$4.18,14.5
2018-09-30,65.32,$2.90,22.55
2018-06-30,74.55,$2.06,36.21
2018-03-31,66.55,$2.56,26.0
2017-12-31,73.26,$2.39,30.65
2017-09-30,78.28,$2.26,34.67
2017-06-30,62.12,$3.27,18.98
2017-03-31,49.44,$-0.09,0.0
2016-12-31,38.07,$1.03,37.06
2016-09-30,34.14,$-0.38,0.0
2016-06-30,26.14,$0.19,135.39
2015-12-31,26.3,$1.96,13.41
2015-09-30,24.54,$3.10,7.91
2015-06-30,26.64,$1.47,18.07
2015-03-31,24.94,$1.76,14.21
2014-12-31,21.94,$2.24,9.79
2016-03-31,30.72,$-0.11,0.0
2014-09-30,21.51,$1.91,11.24
2014-06-30,25.15,$1.31,19.16
2014-03-31,25.35,$1.45,17.45
2013-12-31,30.22,$0.70,42.92
2013-09-30,24.98,$1.26,19.88
2013-06-30,22.43,$1.97,11.38
2013-03-31,24.76,$2.31,10.72
2012-12-31,24.91,$1.90,13.15
2012-09-30,22.35,$0.77,29.09
2012-06-30,20.08,$0.80,25.01
2012-03-31,20.59,$1.30,15.89
2011-12-31,23.1,$1.61,14.39
2011-09-30,19.96,$2.56,7.8
2011-06-30,25.45,$2.33,10.94
2011-03-31,28.16,$1.84,15.28
2010-12-31,22.77,$2.11,10.77
2010-09-30,19.41,$1.25,15.47
2010-06-30,15.98,$0.26,61.43
2010-03-31,23.61,$0.51,45.96
2009-12-31,20.27,$0.74,27.43
