NV5 Global Price to Free Cash Flow Ratio Historical Data,NV5 Global Price to Free Cash Flow Ratio Historical Data,NV5 Global Price to Free Cash Flow Ratio Historical Data,NV5 Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.57,,49.0
2024-06-30,23.24,$0.48,48.32
2024-03-31,24.5,$0.91,26.94
2023-12-31,27.78,$0.74,37.58
2023-09-30,24.06,$0.72,33.42
2023-06-30,27.69,$0.81,33.99
2023-03-31,25.99,$0.70,36.97
2022-12-31,33.08,$1.28,25.76
2022-09-30,30.96,$1.40,22.19
2022-06-30,29.19,$1.26,23.12
2022-03-31,33.33,$1.31,25.47
2021-12-31,34.53,$1.52,22.7
2021-09-30,24.64,$1.65,14.96
2021-06-30,23.63,$1.81,13.02
2021-03-31,24.14,$2.42,9.99
2020-12-31,19.7,$1.73,11.4
2020-09-30,13.19,$1.63,8.1
2020-06-30,12.71,$1.32,9.61
2020-03-31,10.32,$0.62,16.65
2019-12-31,12.61,$0.74,16.94
2019-09-30,17.07,$0.76,22.35
2019-06-30,20.35,$0.82,24.96
2019-03-31,14.84,$0.97,15.32
2018-12-31,15.14,$0.71,21.24
2018-09-30,21.68,$0.60,35.89
2018-06-30,17.33,$0.49,35.47
2018-03-31,13.94,$0.42,33.33
2017-12-31,13.54,$0.36,37.93
2017-09-30,13.66,$0.22,61.24
2017-06-30,10.63,$0.28,37.46
2017-03-31,9.4,$0.31,30.23
2016-12-31,8.35,$0.37,22.39
2016-09-30,8.08,$0.46,17.73
2016-06-30,7.11,$0.33,21.51
2016-03-31,6.71,$0.17,38.73
2015-12-31,5.5,$0.19,29.53
2015-09-30,4.64,$0.07,63.82
2015-06-30,6.07,$0.18,33.4
2015-03-31,4.09,$0.09,47.67
2014-12-31,3.25,$0.03,122.18
2014-09-30,2.37,$-0.00,0.0
2014-06-30,2.46,$0.05,46.2
