AbbVie Price to Free Cash Flow Ratio Historical Data,AbbVie Price to Free Cash Flow Ratio Historical Data,AbbVie Price to Free Cash Flow Ratio Historical Data,AbbVie Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,196.31,,19.58
2024-06-30,169.95,$10.03,16.95
2024-03-31,178.73,$12.35,14.47
2023-12-31,150.66,$12.44,12.11
2023-09-30,143.49,$13.94,10.3
2023-06-30,128.27,$13.96,9.19
2023-03-31,150.36,$13.23,11.36
2022-12-31,151.01,$13.64,11.07
2022-09-30,124.18,$12.34,10.06
2022-06-30,140.4,$12.50,11.23
2022-03-31,147.29,$12.40,11.88
2021-12-31,121.74,$12.37,9.84
2021-09-30,95.84,$12.77,7.5
2021-06-30,98.98,$11.31,8.75
2021-03-31,93.95,$10.19,9.22
2020-12-31,91.95,$10.04,9.16
2020-09-30,74.15,$8.98,8.26
2020-06-30,82.13,$9.07,9.05
2020-03-31,62.83,$2.82,22.28
2019-12-31,72.05,$2.32,31.02
2019-09-30,60.74,$3.16,19.24
2019-06-30,57.46,$1.96,29.3
2018-12-31,70.99,$8.27,8.58
2018-09-30,72.07,$10.20,7.06
2018-06-30,69.9,$9.24,7.56
2018-03-31,70.67,$9.42,7.5
2017-12-31,71.69,$9.02,7.95
2019-03-31,62.84,$6.35,9.9
2017-09-30,65.42,$5.28,12.4
2017-06-30,52.91,$4.13,12.82
2017-03-31,47.08,$4.04,11.65
2016-12-31,44.77,$4.02,11.13
2016-09-30,44.68,$4.29,10.41
2016-06-30,43.47,$4.67,9.31
2016-03-31,39.73,$4.62,8.6
2015-12-31,40.75,$4.28,9.53
2015-09-30,37.07,$2.66,13.93
2015-06-30,45.45,$2.48,18.36
2015-03-31,39.27,$2.42,16.25
2014-12-31,43.56,$1.82,23.88
2014-09-30,38.16,$2.96,12.88
2014-06-30,37.0,$3.01,12.3
2014-03-31,33.4,$3.22,10.38
2013-12-31,34.04,$3.60,9.45
