CVB Financial Price to Free Cash Flow Ratio Historical Data,CVB Financial Price to Free Cash Flow Ratio Historical Data,CVB Financial Price to Free Cash Flow Ratio Historical Data,CVB Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.77,,11.76
2024-06-30,16.86,$1.68,10.03
2024-03-31,17.24,$2.16,7.99
2023-12-31,19.32,$2.10,9.19
2023-09-30,15.65,$2.25,6.95
2023-06-30,12.36,$2.17,5.69
2023-03-31,15.33,$1.97,7.79
2022-12-31,23.67,$1.98,11.98
2022-09-30,22.93,$1.90,12.05
2022-06-30,22.46,$1.86,12.06
2022-03-31,20.69,$1.58,13.13
2021-12-31,19.09,$1.42,13.48
2021-09-30,17.85,$1.32,13.5
2021-06-30,18.04,$1.15,15.73
2021-03-31,19.19,$1.15,16.62
2020-12-31,16.81,$1.34,12.54
2020-09-30,14.05,$1.44,9.78
2020-06-30,15.67,$1.59,9.89
2020-03-31,16.61,$1.61,10.34
2019-12-31,17.73,$1.49,11.91
2019-09-30,17.0,$1.50,11.35
2019-06-30,16.98,$1.32,12.86
2019-03-31,16.86,$1.25,13.46
2018-12-31,16.09,$1.32,12.21
2018-09-30,17.64,$1.17,15.07
2018-06-30,17.61,$1.30,13.58
2018-03-31,17.67,$1.22,14.48
2017-12-31,18.28,$1.25,14.6
2017-09-30,18.65,$1.14,16.42
2017-06-30,17.2,$1.09,15.85
2017-03-31,16.84,$1.27,13.26
2016-12-31,17.39,$1.04,16.74
2016-09-30,13.27,$1.07,12.39
2016-06-30,12.25,$1.04,11.77
2016-03-31,12.96,$1.01,12.87
2015-12-31,12.56,$0.99,12.74
2015-09-30,12.23,$0.99,12.34
2015-06-30,12.81,$0.98,13.09
2015-03-31,11.59,$0.81,14.3
2014-12-31,11.56,$0.82,14.14
2014-09-30,10.22,$0.99,10.36
2014-06-30,11.42,$0.85,13.42
2014-03-31,11.19,$1.24,9.01
2013-12-31,12.01,$1.04,11.54
2013-09-30,9.46,$1.04,9.07
2013-06-30,8.1,$1.15,7.04
2013-03-31,7.7,$1.18,6.51
2012-12-31,7.11,$1.44,4.94
2012-09-30,8.03,$1.38,5.81
2012-06-30,7.78,$1.61,4.83
2012-03-31,7.79,$1.29,6.05
2011-12-31,6.6,$1.22,5.4
2011-09-30,5.0,$1.22,4.11
2011-06-30,6.01,$0.73,8.19
2011-03-31,6.0,$0.79,7.6
2010-12-31,5.53,$0.91,6.08
2010-09-30,4.74,$0.53,9.01
2010-06-30,5.93,$0.77,7.7
2010-03-31,6.15,$0.66,9.33
2009-12-31,5.3,$0.68,7.85
