Playa Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Playa Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Playa Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Playa Hotels & Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.74,,8.02
2024-06-30,8.39,$1.09,7.7
2024-03-31,9.7,$1.24,7.79
2023-12-31,8.65,$1.13,7.69
2023-09-30,7.24,$0.39,18.38
2023-06-30,8.14,$0.58,13.95
2023-03-31,9.6,$0.80,11.97
2022-12-31,6.53,$0.78,8.36
2022-09-30,5.82,$0.93,6.25
2022-06-30,6.87,$0.72,9.5
2022-03-31,8.65,$1.41,6.13
2021-12-31,7.98,$0.85,9.38
2021-09-30,8.29,$0.21,38.83
2021-06-30,7.43,$0.25,29.54
2020-12-31,5.95,$-0.59,0.0
2020-09-30,4.19,$-1.30,0.0
2020-06-30,3.62,$-0.88,0.0
2020-03-31,1.75,$-1.40,0.0
2019-12-31,8.4,$-1.58,0.0
2021-03-31,7.3,$-0.54,0.0
2019-09-30,7.83,$-0.71,0.0
2019-06-30,7.71,$-0.26,0.0
2019-03-31,7.63,$-0.24,0.0
2018-12-31,7.19,$0.03,244.56
2018-09-30,9.63,$-0.16,0.0
2018-06-30,10.8,$-0.65,0.0
2018-03-31,10.22,$-0.56,0.0
2017-12-31,10.79,$-0.43,0.0
