Resideo Technologies Price to Free Cash Flow Ratio Historical Data,Resideo Technologies Price to Free Cash Flow Ratio Historical Data,Resideo Technologies Price to Free Cash Flow Ratio Historical Data,Resideo Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.72,,9.89
2024-06-30,19.56,$2.20,8.91
2024-03-31,22.42,$2.30,9.76
2023-12-31,18.82,$2.26,8.31
2023-09-30,15.8,$1.29,12.28
2023-06-30,17.66,$1.23,14.38
2023-03-31,18.28,$0.81,22.51
2022-12-31,16.45,$0.45,36.58
2022-09-30,19.06,$0.52,36.77
2022-06-30,19.42,$0.95,20.46
2022-03-31,23.83,$1.27,18.7
2021-12-31,26.03,$1.70,15.29
2021-09-30,24.79,$2.09,11.87
2021-06-30,30.0,$1.49,20.16
2021-03-31,28.25,$2.02,14.0
2020-12-31,21.26,$1.38,15.39
2020-09-30,11.0,$0.85,12.87
2020-06-30,11.72,$0.35,33.32
2020-03-31,4.84,$-4.42,0.0
2019-12-31,11.93,$-0.38,0.0
2019-09-30,14.35,$-1.10,0.0
