West Pharmaceutical Services Price to Free Cash Flow Ratio Historical Data,West Pharmaceutical Services Price to Free Cash Flow Ratio Historical Data,West Pharmaceutical Services Price to Free Cash Flow Ratio Historical Data,West Pharmaceutical Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,313.63,,65.73
2024-06-30,329.18,$4.77,68.99
2024-03-31,395.25,$5.14,76.95
2023-12-31,351.52,$5.50,63.86
2023-09-30,374.57,$5.56,67.36
2023-06-30,381.63,$5.25,72.76
2023-03-31,345.52,$5.41,63.83
2022-12-31,234.54,$5.80,40.46
2022-09-30,245.02,$5.10,48.03
2022-06-30,300.89,$5.27,57.14
2022-03-31,408.5,$5.01,81.57
2021-12-31,466.26,$4.33,107.61
2021-09-30,421.87,$4.44,94.99
2021-06-30,356.68,$3.74,95.46
2021-03-31,279.73,$4.05,69.07
2020-12-31,281.09,$3.93,71.47
2020-09-30,272.58,$3.65,74.73
2020-06-30,225.12,$3.72,60.48
2020-03-31,150.73,$3.28,46.02
2019-12-31,148.68,$3.19,46.55
2019-09-30,140.1,$2.86,49.01
2019-06-30,123.48,$2.66,46.4
2019-03-31,108.59,$2.46,44.08
2018-12-31,96.46,$2.44,39.55
2018-09-30,121.33,$2.55,47.65
2018-06-30,97.43,$2.28,42.65
2018-03-31,86.5,$2.20,39.36
2017-12-31,96.54,$1.75,55.23
2017-09-30,94.04,$1.38,67.92
2017-06-30,92.21,$1.10,83.75
2017-03-31,79.49,$0.92,86.63
2016-12-31,82.5,$0.66,125.76
2016-09-30,72.32,$0.65,111.69
2016-06-30,73.55,$0.91,80.52
2016-03-31,67.08,$1.05,63.89
2015-12-31,58.15,$1.09,53.11
2015-09-30,52.15,$1.04,50.28
2015-06-30,55.86,$0.99,56.18
2015-03-31,57.8,$0.85,67.89
2014-12-31,51.0,$0.98,52.29
2014-09-30,42.77,$1.14,37.59
2014-06-30,40.2,$0.99,40.75
2014-03-31,41.89,$1.25,33.43
2013-12-31,46.56,$0.96,48.46
2013-09-30,38.97,$1.05,37.28
2013-06-30,33.18,$1.03,32.1
2013-03-31,30.58,$0.42,72.25
2012-12-31,25.69,$0.78,32.88
2012-09-30,24.82,$0.39,63.6
2012-06-30,23.53,$0.28,85.08
2012-03-31,19.73,$0.36,54.68
2011-12-31,17.52,$0.48,36.73
2011-09-30,17.05,$0.72,23.8
2011-06-30,20.03,$0.93,21.62
2011-03-31,20.42,$0.87,23.58
2010-12-31,18.71,$0.92,20.44
2010-09-30,15.51,$0.90,17.33
2010-06-30,16.42,$0.63,25.97
2010-03-31,18.81,$0.75,25.15
2009-12-31,17.5,$0.45,38.73
