RH Price to Free Cash Flow Ratio Historical Data,RH Price to Free Cash Flow Ratio Historical Data,RH Price to Free Cash Flow Ratio Historical Data,RH Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,348.1,,0.0
2024-07-31,290.08,$-12.85,0.0
2024-04-30,247.05,$-5.87,0.0
2024-01-31,253.48,$-3.11,0.0
2023-10-31,217.96,$10.02,21.76
2023-07-31,388.17,$11.37,34.13
2023-04-30,255.13,$7.24,35.25
2023-01-31,311.99,$8.86,35.21
2022-10-31,253.93,$12.06,21.06
2022-07-31,279.43,$12.81,21.81
2022-04-30,336.12,$14.65,22.94
2022-01-31,402.82,$15.32,26.29
2021-10-31,659.63,$16.70,39.49
2021-07-31,664.08,$18.54,35.81
2021-04-30,688.02,$21.43,32.1
2021-01-31,475.36,$15.19,31.3
2020-10-31,335.23,$14.67,22.85
2020-07-31,287.43,$11.86,24.24
2020-04-30,143.78,$8.12,17.71
2020-01-31,208.75,$11.10,18.81
2019-10-31,181.7,$12.60,14.42
2019-07-31,139.4,$9.39,14.85
2019-04-30,106.71,$8.46,12.61
2019-01-31,135.87,$6.39,21.25
2018-10-31,115.71,$3.63,31.89
2018-07-31,135.86,$6.19,21.96
2018-04-30,95.45,$11.88,8.04
2018-01-31,93.99,$15.57,6.04
2017-10-31,89.92,$13.61,6.61
2017-07-31,65.13,$10.96,5.94
2017-04-30,47.97,$4.02,11.94
2017-01-31,27.02,$-2.19,0.0
2016-10-31,28.97,$-0.61,0.0
2016-07-31,30.81,$-2.70,0.0
2016-04-30,43.27,$-2.46,0.0
2016-01-31,61.62,$-0.16,0.0
2015-10-31,103.09,$-1.08,0.0
2015-07-31,101.46,$-0.10,0.0
2015-04-30,86.17,$0.02,5222.42
2015-01-31,87.53,$-0.75,0.0
2014-10-31,80.32,$-1.73,0.0
2014-07-31,81.79,$-1.84,0.0
2014-04-30,62.39,$-1.19,0.0
2014-01-31,56.74,$-0.16,0.0
2013-10-31,69.74,$-6.27,0.0
