Cisco Price to Free Cash Flow Ratio Historical Data,Cisco Price to Free Cash Flow Ratio Historical Data,Cisco Price to Free Cash Flow Ratio Historical Data,Cisco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,50.54,,16.59
2024-04-30,46.58,$3.05,15.29
2024-01-31,49.35,$3.31,14.89
2023-10-31,50.87,$4.27,11.93
2023-07-31,50.42,$4.64,10.87
2023-04-30,45.43,$4.09,11.11
2023-01-31,46.45,$3.75,12.4
2022-10-31,43.01,$3.20,13.43
2022-07-31,42.57,$3.06,13.9
2022-04-30,45.55,$3.24,14.06
2022-01-31,51.41,$3.25,15.82
2021-10-31,51.38,$3.34,15.36
2021-07-31,50.48,$3.49,14.46
2021-04-30,46.1,$3.30,13.96
2021-01-31,40.08,$3.40,11.78
2020-10-31,32.02,$3.62,8.84
2020-07-31,41.62,$3.49,11.93
2020-04-30,37.15,$3.47,10.72
2020-01-31,39.94,$3.45,11.57
2019-10-31,40.98,$3.38,12.13
2019-07-31,47.44,$3.36,14.13
2019-04-30,47.61,$3.32,14.34
2019-01-31,39.99,$2.83,14.13
2018-10-31,38.38,$2.83,13.57
2018-07-31,35.23,$2.64,13.34
2018-04-30,36.62,$2.61,14.04
2018-01-31,34.07,$2.76,12.36
2017-10-31,27.8,$2.66,10.46
2017-07-31,25.38,$2.56,9.92
2017-04-30,27.25,$2.50,10.88
2017-01-31,24.35,$2.44,10.0
2016-10-31,24.11,$2.44,9.87
2016-07-31,23.8,$2.45,9.71
2016-04-30,21.24,$2.50,8.5
2016-01-31,18.21,$2.47,7.37
2015-10-31,21.91,$2.27,9.66
2015-07-31,21.41,$2.21,9.71
2015-04-30,21.55,$2.07,10.44
2015-01-31,19.56,$2.11,9.25
2014-10-31,18.03,$2.11,8.55
2014-07-31,18.45,$2.14,8.63
2014-04-30,16.77,$2.23,7.51
2014-01-31,15.77,$2.18,7.24
2013-10-31,16.11,$2.25,7.17
2013-07-31,18.15,$2.21,8.22
2013-04-30,14.73,$2.05,7.2
2013-01-31,14.37,$2.01,7.14
2012-10-31,11.89,$1.96,6.06
2012-07-31,10.98,$1.93,5.7
2012-04-30,13.81,$1.85,7.48
2012-01-31,13.41,$1.86,7.22
2011-10-31,12.61,$1.75,7.22
2011-07-31,10.82,$1.60,6.76
2011-04-30,11.83,$1.65,7.19
2011-01-31,14.23,$1.61,8.85
2010-10-31,15.38,$1.58,9.75
2010-07-31,15.52,$1.57,9.9
2010-04-30,18.12,$1.36,13.34
2010-01-31,15.12,$1.22,12.42
2009-10-31,15.35,$1.74,8.8
