Sonic Automotive Price to Free Cash Flow Ratio Historical Data,Sonic Automotive Price to Free Cash Flow Ratio Historical Data,Sonic Automotive Price to Free Cash Flow Ratio Historical Data,Sonic Automotive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.78,,0.0
2024-06-30,54.18,$-7.18,0.0
2024-03-31,56.34,$-3.21,0.0
2023-12-31,55.29,$-5.89,0.0
2023-09-30,46.73,$-7.81,0.0
2023-06-30,46.39,$-2.55,0.0
2023-03-31,52.54,$-1.34,0.0
2022-12-31,47.39,$5.26,9.02
2022-09-30,41.42,$10.21,4.06
2022-06-30,34.85,$9.02,3.86
2022-03-31,40.19,$4.75,8.46
2021-12-31,46.5,$0.49,94.97
2021-09-30,49.28,$2.06,23.96
2021-06-30,41.86,$-2.52,0.0
2021-03-31,46.26,$6.60,7.01
2020-12-31,35.93,$4.49,7.99
2020-09-30,37.32,$7.85,4.76
2020-06-30,29.58,$7.54,3.92
2020-03-31,12.27,$2.60,4.71
2019-12-31,28.47,$1.28,22.18
2019-09-30,28.76,$-2.84,0.0
2019-06-30,21.31,$-1.32,0.0
2019-03-31,13.46,$-2.69,0.0
2018-12-31,12.42,$-0.01,0.0
2018-09-30,17.39,$-0.94,0.0
2018-06-30,18.46,$-2.11,0.0
2018-03-31,16.93,$-1.89,0.0
2017-12-31,16.44,$-1.60,0.0
2017-09-30,18.13,$-1.53,0.0
2017-06-30,17.24,$-0.35,0.0
2017-03-31,17.73,$-1.01,0.0
2016-12-31,20.2,$0.25,81.01
2016-09-30,16.54,$-0.19,0.0
2016-06-30,15.01,$-1.49,0.0
2016-03-31,16.17,$-0.62,0.0
2015-12-31,19.86,$-2.01,0.0
2015-09-30,17.79,$-0.71,0.0
2015-06-30,20.74,$-0.17,0.0
2015-03-31,21.65,$0.60,36.36
2014-12-31,23.48,$0.55,42.94
2014-09-30,21.26,$-0.22,0.0
2014-06-30,23.12,$0.70,32.93
2014-03-31,19.46,$-1.22,0.0
2013-12-31,21.17,$-0.57,0.0
2013-09-30,20.56,$-1.31,0.0
2013-06-30,18.24,$-2.50,0.0
2013-03-31,19.09,$-1.33,0.0
2012-12-31,17.98,$-2.68,0.0
2012-09-30,16.31,$-0.91,0.0
2012-06-30,11.73,$-1.50,0.0
2012-03-31,15.33,$0.24,63.99
2011-12-31,12.66,$-0.06,0.0
2011-09-30,9.2,$0.12,77.33
2011-06-30,12.46,$-0.06,0.0
2011-03-31,11.89,$-1.67,0.0
2010-12-31,11.21,$2.59,4.33
2010-09-30,8.31,$3.06,2.72
2010-06-30,7.23,$3.61,2.0
2010-03-31,9.29,$6.09,1.53
2009-12-31,8.78,$6.56,1.34
