NRG Energy Price to Free Cash Flow Ratio Historical Data,NRG Energy Price to Free Cash Flow Ratio Historical Data,NRG Energy Price to Free Cash Flow Ratio Historical Data,NRG Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,85.01,,5.49
2024-06-30,77.43,$15.48,5.0
2024-03-31,66.94,$12.76,5.25
2023-12-31,50.74,$5.21,9.74
2023-09-30,37.47,$-9.57,0.0
2023-06-30,36.01,$-17.64,0.0
2023-03-31,32.67,$-12.92,0.0
2022-12-31,29.98,$0.43,69.37
2022-09-30,35.78,$3.69,9.7
2022-06-30,35.36,$15.77,2.24
2022-03-31,35.19,$14.23,2.47
2021-12-31,39.18,$4.30,9.11
2021-09-30,36.83,$9.31,3.96
2021-06-30,36.07,$6.22,5.8
2021-03-31,33.46,$3.04,11.02
2020-12-31,33.04,$6.86,4.82
2020-09-30,26.8,$6.59,4.07
2020-06-30,28.13,$5.77,4.87
2020-03-31,23.35,$5.83,4.0
2019-12-31,33.77,$9.39,3.6
2019-09-30,33.62,$8.51,3.95
2019-06-30,29.79,$13.11,2.27
2019-03-31,36.0,$11.71,3.07
2018-12-31,33.54,$8.29,4.05
2018-09-30,31.65,$10.55,3.0
2018-06-30,25.95,$8.21,3.16
2018-03-31,25.78,$7.32,3.52
2017-12-31,24.03,$5.63,4.26
2017-09-30,21.56,$4.11,5.24
2017-06-30,14.49,$2.46,5.9
2017-03-31,15.71,$2.91,5.4
2016-12-31,10.28,$5.08,2.02
2016-09-30,9.37,$3.21,2.92
2016-06-30,12.51,$2.68,4.67
2016-03-31,10.83,$2.28,4.74
2015-12-31,9.66,$1.05,9.16
2015-09-30,12.05,$2.16,5.57
2015-06-30,18.45,$2.18,8.48
2015-03-31,20.2,$1.68,12.01
2014-12-31,21.49,$2.37,9.06
2014-09-30,24.19,$1.82,13.26
2014-06-30,29.39,$1.80,16.34
2014-03-31,25.01,$1.43,17.44
2013-12-31,22.49,$-2.18,0.0
2013-09-30,21.32,$-5.69,0.0
2013-06-30,20.73,$-8.77,0.0
2013-03-31,20.48,$-8.78,0.0
2012-12-31,17.71,$-9.02,0.0
2012-09-30,16.41,$-7.52,0.0
2012-06-30,13.26,$-6.95,0.0
2012-03-31,11.97,$-7.84,0.0
2011-12-31,13.84,$-4.72,0.0
2011-09-30,16.2,$-1.72,0.0
2011-06-30,18.77,$0.42,45.12
2011-03-31,16.45,$3.93,4.19
2010-12-31,14.92,$3.78,3.95
2010-09-30,15.9,$5.11,3.11
2010-06-30,16.2,$4.99,3.25
2010-03-31,15.96,$5.25,3.04
2009-12-31,18.03,$5.08,3.55
