Douglas Emmett Price to Free Cash Flow Ratio Historical Data,Douglas Emmett Price to Free Cash Flow Ratio Historical Data,Douglas Emmett Price to Free Cash Flow Ratio Historical Data,Douglas Emmett Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.0,,16.07
2024-06-30,13.17,$1.18,11.14
2024-03-31,13.53,$1.11,12.18
2023-12-31,13.95,$1.16,12.05
2023-09-30,12.12,$1.18,10.27
2023-06-30,11.76,$1.39,8.44
2023-03-31,11.37,$-0.39,0.0
2022-12-31,14.23,$-0.41,0.0
2022-09-30,16.08,$-0.40,0.0
2022-06-30,19.76,$-0.57,0.0
2022-03-31,29.14,$1.13,25.77
2021-12-31,28.97,$0.88,33.04
2021-09-30,27.11,$0.51,53.06
2021-06-30,28.59,$0.55,51.96
2021-03-31,26.48,$0.53,49.57
2020-12-31,24.4,$0.82,29.86
2020-09-30,20.78,$1.15,18.13
2020-06-30,25.11,$1.30,19.34
2020-03-31,24.76,$-0.64,0.0
2019-12-31,35.3,$-0.78,0.0
2019-09-30,34.22,$-0.92,0.0
2019-06-30,31.63,$-1.05,0.0
2019-03-31,31.88,$1.01,31.44
2018-12-31,26.75,$1.09,24.51
2018-09-30,29.34,$-2.04,0.0
2018-06-30,31.04,$0.26,118.49
2018-03-31,28.22,$-1.89,0.0
2017-12-31,31.31,$-1.90,0.0
2017-09-30,29.88,$1.32,22.71
2017-06-30,28.79,$-2.51,0.0
2017-03-31,28.76,$1.43,20.14
2016-12-31,27.22,$-6.87,0.0
2016-09-30,27.1,$-6.78,0.0
2016-06-30,26.12,$-5.50,0.0
2016-03-31,22.0,$-7.14,0.0
2015-12-31,22.62,$-0.61,0.0
2015-09-30,20.69,$-0.58,0.0
2015-03-31,21.15,$-0.43,0.0
2014-12-31,20.01,$-0.42,0.0
2014-09-30,17.95,$0.94,19.03
2014-06-30,19.59,$0.78,24.98
2014-03-31,18.7,$0.03,653.94
2013-12-31,15.93,$-0.14,0.0
2015-06-30,19.26,$0.04,436.75
2013-09-30,15.92,$0.07,231.06
2013-06-30,16.8,$0.86,19.56
2013-03-31,16.66,$0.88,19.03
2012-12-31,15.46,$0.67,22.92
2012-09-30,15.19,$0.70,21.63
2012-06-30,15.11,$0.56,27.01
2012-03-31,14.82,$0.62,23.87
2011-12-31,11.77,$0.96,12.31
2011-09-30,10.96,$1.05,10.42
2011-06-30,12.65,$1.27,9.93
2011-03-31,11.85,$-0.68,0.0
2010-12-31,10.43,$-0.77,0.0
2010-09-30,10.94,$-0.86,0.0
2010-06-30,8.83,$-0.60,0.0
2010-03-31,9.49,$1.45,6.56
2009-12-31,8.74,$1.75,4.99
