Parsons Price to Free Cash Flow Ratio Historical Data,Parsons Price to Free Cash Flow Ratio Historical Data,Parsons Price to Free Cash Flow Ratio Historical Data,Parsons Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,108.27,,27.43
2024-06-30,81.81,$3.95,20.73
2024-03-31,82.95,$2.66,31.2
2023-12-31,62.71,$3.20,19.62
2023-09-30,54.35,$2.32,23.46
2023-06-30,48.14,$1.69,28.48
2023-03-31,44.74,$1.95,22.99
2022-12-31,46.25,$1.83,25.27
2022-09-30,39.2,$1.87,20.98
2022-06-30,40.42,$1.50,26.98
2022-03-31,38.7,$2.02,19.16
2021-12-31,33.65,$1.66,20.31
2021-09-30,33.76,$2.66,12.72
2021-06-30,39.36,$3.33,11.82
2021-03-31,40.44,$3.21,12.61
2020-12-31,36.41,$2.54,14.36
2020-09-30,33.54,$1.60,21.02
2020-06-30,36.24,$1.94,18.65
2020-03-31,31.96,$0.39,82.63
